Year,CouncilArea,Yearly Incidents Recorded,"Yearly Rate per 100,000 population"
2020,Nillumbik City Council,1564,2456
2020,Port Phillip City Council,10118,9626
2020,Stonnington City Council,9071,8415
2020,Whittlesea City Council,11648,5029
2020,Wyndham City Council,12987,4419
2020,Yarra City Council,10976,11827
2019,Banyule City Council,7198,5522
2019,Bayside City Council,4045,3851
2019,Boroondara City Council,6282,3524
2019,Brimbank City Council,15275,7458
2019,Cardinia City Council,5129,4442
2019,Casey City Council,17043,4720
2019,Darebin City Council,11732,7467
2019,Frankston City Council,11111,7817
2019,Glen Eira City Council,5803,3756
2019,Greater Dandenong City Council,14591,8800
2019,Hobsons Bay City Council,4891,5130
2019,Hume City Council,15817,6548
2019,Kingston City Council,8927,5470
2019,Knox City Council,8676,5315
2019,Manningham City Council,3659,2864
2019,Maribyrnong City Council,7146,7990
2019,Maroondah City Council,5948,5032
2019,Melbourne City Council,26820,15760
2019,Melton City Council,9073,5285
2019,Merri-bek City Council,11176,6214
2019,Monash City Council,9188,4581
2019,Moonee Valley City Council,6659,5257
2019,Nillumbik City Council,1674,2601
2019,Port Phillip City Council,9879,8911
2019,Stonnington City Council,9139,8096
2019,Whittlesea City Council,12159,5291
2019,Wyndham City Council,13269,4670
2019,Yarra City Council,11365,11761
2018,Banyule City Council,7096,5444
2018,Bayside City Council,3678,3503
2018,Boroondara City Council,5586,3110
2018,Brimbank City Council,14383,6954
2018,Cardinia City Council,4526,4085
2018,Casey City Council,15913,4563
2018,Darebin City Council,11289,7179
2018,Frankston City Council,11047,7786
2018,Glen Eira City Council,4978,3242
2018,Greater Dandenong City Council,14051,8467
2018,Hobsons Bay City Council,4842,5062
2018,Hume City Council,15510,6660
2018,Kingston City Council,8432,5179
2018,Knox City Council,8194,5025
2018,Manningham City Council,3473,2747
2018,Maribyrnong City Council,6647,7442
2018,Maroondah City Council,5996,5092
2018,Melbourne City Council,26650,15909
2018,Melton City Council,8198,5016
2018,Merri-bek City Council,11309,6320
2018,Monash City Council,8096,4062
2018,Moonee Valley City Council,6537,5181
2018,Nillumbik City Council,1666,2584
2018,Port Phillip City Council,9681,8682
2018,Stonnington City Council,8128,7149
2018,Whittlesea City Council,11767,5236
2018,Wyndham City Council,11312,4203
2018,Yarra City Council,11048,11473
2017,Banyule City Council,7386,5708
2017,Bayside City Council,3955,3789
2017,Boroondara City Council,5975,3335
2017,Brimbank City Council,13829,6689
2017,Cardinia City Council,4502,4266
2017,Casey City Council,15586,4664
2017,Darebin City Council,11869,7562
2017,Frankston City Council,11126,7876
2017,Glen Eira City Council,5392,3549
2017,Greater Dandenong City Council,14082,8569
2017,Hobsons Bay City Council,4929,5189
2017,Hume City Council,15707,7046
2017,Kingston City Council,8024,4976
2017,Knox City Council,8717,5374
2017,Manningham City Council,3761,3013
2017,Maribyrnong City Council,6734,7595
2017,Maroondah City Council,6178,5287
2017,Melbourne City Council,27165,16834
2017,Melton City Council,8093,5234
2017,Merri-bek City Council,11213,6335
2017,Monash City Council,8481,4297
2017,Moonee Valley City Council,6959,5560
2017,Nillumbik City Council,1889,2929
2017,Port Phillip City Council,9951,9013
2017,Stonnington City Council,8278,7325
2017,Whittlesea City Council,11721,5355
2017,Wyndham City Council,11138,4408
2017,Yarra City Council,10813,11353
2016,Banyule City Council,7391,5758
2016,Bayside City Council,4052,3916
2016,Boroondara City Council,6793,3809
2016,Brimbank City Council,14744,7171
2016,Cardinia City Council,5137,5081
2016,Casey City Council,17526,5441
2016,Darebin City Council,12872,8241
2016,Frankston City Council,12058,8591
2016,Glen Eira City Council,5707,3799
2016,Greater Dandenong City Council,15109,9310
2016,Hobsons Bay City Council,5306,5629
2016,Hume City Council,16673,7790
2016,Kingston City Council,8377,5241
2016,Knox City Council,8910,5524
2016,Manningham City Council,3898,3149
2016,Maribyrnong City Council,7189,8186
2016,Maroondah City Council,6820,5884
2016,Melbourne City Council,27509,17917
2016,Melton City Council,8923,6077
2016,Merri-bek City Council,11641,6673
2016,Monash City Council,8739,4483
2016,Moonee Valley City Council,7585,6118
2016,Nillumbik City Council,2151,3343
2016,Port Phillip City Council,10310,9433
2016,Stonnington City Council,8842,7904
2016,Whittlesea City Council,12423,5840
2016,Wyndham City Council,11962,5031
2016,Yarra City Council,11076,11769
2015,Banyule City Council,7061,5555
2015,Bayside City Council,3710,3619
2015,Boroondara City Council,6023,3409
2015,Brimbank City Council,14659,7207
2015,Cardinia City Council,4702,4877
2015,Casey City Council,15214,4912
2015,Darebin City Council,11612,7521
2015,Frankston City Council,10984,7897
2015,Glen Eira City Council,5024,3395
2015,Greater Dandenong City Council,13587,8531
2015,Hobsons Bay City Council,5500,5913
2015,Hume City Council,15069,7351
2015,Kingston City Council,8084,5106
2015,Knox City Council,7493,4684
2015,Manningham City Council,3339,2734
2015,Maribyrnong City Council,6992,8089
2015,Maroondah City Council,5950,5202
2015,Melbourne City Council,25184,17511
2015,Melton City Council,8470,6053
2015,Merri-bek City Council,10959,6400
2015,Monash City Council,7634,3979
2015,Moonee Valley City Council,6921,5662
2015,Nillumbik City Council,1982,3094
2015,Port Phillip City Council,9669,8945
2015,Stonnington City Council,7852,7118
2015,Whittlesea City Council,10821,5289
2015,Wyndham City Council,11464,5118
2015,Yarra City Council,10211,11078
