Rooms,Type,Price,Year,Distance,Landsize,CouncilArea,Yearly Incidents Recorded
3,h,725000.0,2016,13.5,,Moonee Valley City Council,6921.0
4,h,758000.0,2016,13.5,,Moonee Valley City Council,6921.0
2,u,440000.0,2016,13.5,192.0,Moonee Valley City Council,6921.0
3,h,970000.0,2016,13.5,,Moonee Valley City Council,6921.0
5,h,755000.0,2016,13.5,596.0,Moonee Valley City Council,6921.0
4,h,985000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,t,700000.0,2016,13.5,165.0,Moonee Valley City Council,6921.0
2,u,509500.0,2016,13.5,,Moonee Valley City Council,6921.0
3,h,830000.0,2016,13.5,971.0,Moonee Valley City Council,6921.0
2,u,462500.0,2016,13.5,164.0,Moonee Valley City Council,6921.0
3,h,670000.0,2016,13.5,657.0,Moonee Valley City Council,6921.0
2,h,675000.0,2016,13.5,612.0,Moonee Valley City Council,6921.0
3,h,1042000.0,2016,13.5,612.0,Moonee Valley City Council,6921.0
3,h,910000.0,2016,13.5,775.0,Moonee Valley City Council,6921.0
4,h,773000.0,2016,13.5,531.0,Moonee Valley City Council,6921.0
3,h,715000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,h,810000.0,2017,13.5,555.0,Moonee Valley City Council,7585.0
3,h,715000.0,2017,13.5,422.0,Moonee Valley City Council,7585.0
3,h,790000.0,2017,13.5,614.0,Moonee Valley City Council,7585.0
2,t,460000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,t,540000.0,2016,13.5,161.0,Moonee Valley City Council,6921.0
3,t,825000.0,2016,13.5,293.0,Moonee Valley City Council,6921.0
3,h,685000.0,2016,13.5,579.0,Moonee Valley City Council,6921.0
3,u,445000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,h,805000.0,2016,13.5,623.0,Moonee Valley City Council,6921.0
2,u,510000.0,2016,13.5,141.0,Moonee Valley City Council,6921.0
3,h,612000.0,2016,13.5,212.0,Moonee Valley City Council,6921.0
3,h,662000.0,2016,13.5,612.0,Moonee Valley City Council,6921.0
4,h,978000.0,2016,13.5,532.0,Moonee Valley City Council,6921.0
3,h,720000.0,2017,13.5,585.0,Moonee Valley City Council,7585.0
2,u,474000.0,2016,13.5,,Moonee Valley City Council,6921.0
2,t,490000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,h,405000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,t,715000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,u,671500.0,2016,13.5,,Moonee Valley City Council,6921.0
4,h,765000.0,2016,13.5,509.0,Moonee Valley City Council,6921.0
4,h,900000.0,2016,13.5,628.0,Moonee Valley City Council,6921.0
3,u,820000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,u,650000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,t,552000.0,2016,13.5,,Moonee Valley City Council,6921.0
2,h,1275000.0,2016,3.3,120.0,Port Phillip City Council,9669.0
2,h,1455000.0,2016,3.3,159.0,Port Phillip City Council,9669.0
3,h,2850000.0,2017,3.3,211.0,Port Phillip City Council,10310.0
3,h,1850000.0,2017,3.3,128.0,Port Phillip City Council,10310.0
2,h,1436000.0,2017,3.3,130.0,Port Phillip City Council,10310.0
2,h,1110000.0,2016,3.3,147.0,Port Phillip City Council,9669.0
2,h,1550000.0,2016,3.3,167.0,Port Phillip City Council,9669.0
4,h,2300000.0,2016,3.3,153.0,Port Phillip City Council,9669.0
3,t,1550000.0,2016,3.3,718.0,Port Phillip City Council,9669.0
3,h,1800000.0,2016,3.3,132.0,Port Phillip City Council,9669.0
3,h,2485000.0,2016,3.3,,Port Phillip City Council,9669.0
2,h,2120000.0,2016,3.3,199.0,Port Phillip City Council,9669.0
3,h,1800000.0,2016,3.3,253.0,Port Phillip City Council,9669.0
3,h,1800000.0,2016,3.3,90.0,Port Phillip City Council,9669.0
2,h,1810000.0,2016,3.3,240.0,Port Phillip City Council,9669.0
3,h,2615000.0,2016,3.3,177.0,Port Phillip City Council,9669.0
5,h,2100000.0,2016,3.3,237.0,Port Phillip City Council,9669.0
3,h,1300000.0,2016,3.3,129.0,Port Phillip City Council,9669.0
3,h,1370000.0,2016,3.3,0.0,Port Phillip City Council,9669.0
2,h,1000000.0,2016,3.3,288.0,Port Phillip City Council,9669.0
3,h,2575000.0,2016,3.3,228.0,Port Phillip City Council,9669.0
2,h,1322500.0,2016,3.3,149.0,Port Phillip City Council,9669.0
2,h,1562500.0,2016,3.3,141.0,Port Phillip City Council,9669.0
3,h,2000000.0,2016,3.3,211.0,Port Phillip City Council,9669.0
3,h,1900000.0,2017,3.3,209.0,Port Phillip City Council,10310.0
3,h,3010000.0,2017,3.3,147.0,Port Phillip City Council,10310.0
4,h,2800000.0,2016,3.3,327.0,Port Phillip City Council,9669.0
2,u,647000.0,2016,3.3,0.0,Port Phillip City Council,9669.0
3,h,2100000.0,2016,3.3,120.0,Port Phillip City Council,9669.0
3,h,2000000.0,2016,3.3,238.0,Port Phillip City Council,9669.0
1,u,442500.0,2017,3.3,0.0,Port Phillip City Council,10310.0
4,h,4735000.0,2017,3.3,330.0,Port Phillip City Council,10310.0
2,h,1340000.0,2017,3.3,136.0,Port Phillip City Council,10310.0
3,h,1801000.0,2017,3.3,202.0,Port Phillip City Council,10310.0
3,h,1532000.0,2016,3.3,0.0,Port Phillip City Council,9669.0
3,h,3755000.0,2016,3.3,325.0,Port Phillip City Council,9669.0
4,h,2140000.0,2016,3.3,183.0,Port Phillip City Council,9669.0
2,u,1810000.0,2016,3.3,,Port Phillip City Council,9669.0
2,h,1750000.0,2016,3.3,162.0,Port Phillip City Council,9669.0
2,h,980000.0,2016,3.3,79.0,Port Phillip City Council,9669.0
3,h,2030000.0,2016,3.3,152.0,Port Phillip City Council,9669.0
3,h,1740000.0,2016,3.3,147.0,Port Phillip City Council,9669.0
3,h,2800000.0,2016,3.3,0.0,Port Phillip City Council,9669.0
1,h,985000.0,2016,3.3,81.0,Port Phillip City Council,9669.0
4,h,2000000.0,2016,6.4,853.0,Darebin City Council,11612.0
3,h,1110000.0,2016,6.4,208.0,Darebin City Council,11612.0
3,h,1492000.0,2017,6.4,411.0,Darebin City Council,12872.0
2,u,480000.0,2016,6.4,,Darebin City Council,11612.0
3,t,1304000.0,2016,6.4,,Darebin City Council,11612.0
4,h,1717500.0,2016,6.4,599.0,Darebin City Council,11612.0
5,h,2840000.0,2016,6.4,809.0,Darebin City Council,11612.0
2,u,525500.0,2016,6.4,88.0,Darebin City Council,11612.0
2,t,805000.0,2016,6.4,155.0,Darebin City Council,11612.0
2,u,465000.0,2016,6.4,0.0,Darebin City Council,11612.0
3,h,1480000.0,2016,6.4,,Darebin City Council,11612.0
3,h,2000000.0,2016,6.4,686.0,Darebin City Council,11612.0
3,h,1540000.0,2016,6.4,592.0,Darebin City Council,11612.0
2,u,590000.0,2016,6.4,,Darebin City Council,11612.0
2,u,820000.0,2017,6.4,183.0,Darebin City Council,12872.0
4,h,1830000.0,2016,6.4,606.0,Darebin City Council,11612.0
4,h,2100000.0,2016,6.4,575.0,Darebin City Council,11612.0
3,h,865000.0,2016,6.4,180.0,Darebin City Council,11612.0
2,u,390000.0,2016,6.4,0.0,Darebin City Council,11612.0
2,t,650000.0,2016,6.4,0.0,Darebin City Council,11612.0
2,u,512000.0,2017,6.4,0.0,Darebin City Council,12872.0
3,h,1361000.0,2017,6.4,,Darebin City Council,12872.0
3,h,1310000.0,2016,6.4,,Darebin City Council,11612.0
3,h,570000.0,2016,6.4,,Darebin City Council,11612.0
3,h,1165000.0,2016,6.4,979.0,Darebin City Council,11612.0
2,u,530000.0,2016,6.4,,Darebin City Council,11612.0
4,h,1900000.0,2016,6.4,556.0,Darebin City Council,11612.0
3,h,1485000.0,2016,6.4,597.0,Darebin City Council,11612.0
4,h,1950000.0,2016,6.4,589.0,Darebin City Council,11612.0
3,h,520000.0,2016,13.8,352.0,Hobsons Bay City Council,5500.0
5,h,1525000.0,2016,13.8,729.0,Hobsons Bay City Council,5500.0
2,t,720000.0,2016,13.8,292.0,Hobsons Bay City Council,5500.0
3,h,1120000.0,2017,13.8,506.0,Hobsons Bay City Council,5306.0
4,h,780000.0,2016,13.8,655.0,Hobsons Bay City Council,5500.0
4,h,1780000.0,2016,13.8,1057.0,Hobsons Bay City Council,5500.0
3,u,630000.0,2016,13.8,311.0,Hobsons Bay City Council,5500.0
2,u,406000.0,2016,13.8,65.0,Hobsons Bay City Council,5500.0
3,h,660000.0,2016,13.8,602.0,Hobsons Bay City Council,5500.0
3,h,683500.0,2016,13.8,530.0,Hobsons Bay City Council,5500.0
2,u,540000.0,2016,13.8,,Hobsons Bay City Council,5500.0
2,u,580000.0,2016,13.8,225.0,Hobsons Bay City Council,5500.0
3,h,1335000.0,2016,13.8,777.0,Hobsons Bay City Council,5500.0
3,t,800000.0,2016,13.8,280.0,Hobsons Bay City Council,5500.0
2,u,510000.0,2016,13.8,127.0,Hobsons Bay City Council,5500.0
4,h,1070000.0,2016,13.8,695.0,Hobsons Bay City Council,5500.0
2,u,425000.0,2016,13.8,115.0,Hobsons Bay City Council,5500.0
3,u,605000.0,2016,13.8,230.0,Hobsons Bay City Council,5500.0
3,t,705000.0,2017,13.8,197.0,Hobsons Bay City Council,5306.0
2,u,391000.0,2017,13.8,0.0,Hobsons Bay City Council,5306.0
2,u,440000.0,2017,13.8,0.0,Hobsons Bay City Council,5306.0
4,h,845000.0,2017,13.8,745.0,Hobsons Bay City Council,5306.0
3,h,766000.0,2017,13.8,,Hobsons Bay City Council,5306.0
3,t,743000.0,2016,13.8,211.0,Hobsons Bay City Council,5500.0
3,t,650000.0,2016,13.8,,Hobsons Bay City Council,5500.0
3,u,730000.0,2016,13.8,69.0,Hobsons Bay City Council,5500.0
3,t,916500.0,2016,13.8,,Hobsons Bay City Council,5500.0
3,h,635000.0,2016,13.8,625.0,Hobsons Bay City Council,5500.0
2,u,620000.0,2016,13.8,168.0,Hobsons Bay City Council,5500.0
2,u,447000.0,2016,13.8,137.0,Hobsons Bay City Council,5500.0
3,u,730000.0,2016,13.8,70.0,Hobsons Bay City Council,5500.0
3,h,678000.0,2016,13.8,606.0,Hobsons Bay City Council,5500.0
2,u,580000.0,2016,13.8,175.0,Hobsons Bay City Council,5500.0
3,h,712000.0,2016,13.8,363.0,Hobsons Bay City Council,5500.0
3,h,840000.0,2017,13.8,534.0,Hobsons Bay City Council,5306.0
3,h,980000.0,2016,13.8,724.0,Hobsons Bay City Council,5500.0
4,h,1000000.0,2016,13.8,,Hobsons Bay City Council,5500.0
3,t,605100.0,2016,13.8,265.0,Hobsons Bay City Council,5500.0
3,h,880000.0,2016,13.8,577.0,Hobsons Bay City Council,5500.0
3,u,577000.0,2016,13.8,205.0,Hobsons Bay City Council,5500.0
4,h,1030000.0,2017,13.8,797.0,Hobsons Bay City Council,5306.0
3,u,605000.0,2017,13.8,181.0,Hobsons Bay City Council,5306.0
3,h,685000.0,2017,13.8,,Hobsons Bay City Council,5306.0
3,h,753000.0,2016,13.8,529.0,Hobsons Bay City Council,5500.0
2,h,857000.0,2016,13.8,675.0,Hobsons Bay City Council,5500.0
3,h,1500000.0,2016,13.8,929.0,Hobsons Bay City Council,5500.0
3,u,730000.0,2016,13.8,70.0,Hobsons Bay City Council,5500.0
3,h,900000.0,2016,13.8,697.0,Hobsons Bay City Council,5500.0
3,h,740000.0,2016,13.8,604.0,Hobsons Bay City Council,5500.0
4,h,931000.0,2016,13.8,532.0,Hobsons Bay City Council,5500.0
2,h,535600.0,2016,13.8,154.0,Hobsons Bay City Council,5500.0
5,h,1085000.0,2016,11.1,592.0,Hobsons Bay City Council,5500.0
3,h,781000.0,2016,11.1,533.0,Hobsons Bay City Council,5500.0
4,h,857500.0,2016,11.1,,Hobsons Bay City Council,5500.0
4,h,960000.0,2017,11.1,,Hobsons Bay City Council,5306.0
3,h,750000.0,2017,11.1,554.0,Hobsons Bay City Council,5306.0
2,t,421000.0,2017,11.1,77.0,Hobsons Bay City Council,5306.0
3,h,1405000.0,2017,11.1,655.0,Hobsons Bay City Council,5306.0
3,h,683000.0,2016,11.1,534.0,Hobsons Bay City Council,5500.0
3,h,623000.0,2016,11.1,540.0,Hobsons Bay City Council,5500.0
3,h,720000.0,2016,11.1,0.0,Hobsons Bay City Council,5500.0
4,t,780000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,u,720000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,705000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,588000.0,2016,11.1,328.0,Hobsons Bay City Council,5500.0
4,h,720000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,710000.0,2016,11.1,540.0,Hobsons Bay City Council,5500.0
2,h,550000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,u,640000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,537500.0,2016,11.1,,Hobsons Bay City Council,5500.0
4,h,875000.0,2016,11.1,559.0,Hobsons Bay City Council,5500.0
3,h,800000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,t,713500.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,700000.0,2016,11.1,554.0,Hobsons Bay City Council,5500.0
2,h,551000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,685000.0,2016,11.1,,Hobsons Bay City Council,5500.0
2,t,640000.0,2017,11.1,252.0,Hobsons Bay City Council,5306.0
4,h,650000.0,2016,11.1,558.0,Hobsons Bay City Council,5500.0
3,h,925000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,t,670000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,680000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,765000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,675000.0,2016,11.1,171.0,Hobsons Bay City Council,5500.0
3,h,708000.0,2016,11.1,585.0,Hobsons Bay City Council,5500.0
3,t,656000.0,2016,11.1,,Hobsons Bay City Council,5500.0
4,h,883000.0,2016,11.1,,Hobsons Bay City Council,5500.0
4,h,965000.0,2016,11.1,851.0,Hobsons Bay City Council,5500.0
3,h,870000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,681000.0,2016,11.1,,Hobsons Bay City Council,5500.0
2,h,522500.0,2016,11.1,,Hobsons Bay City Council,5500.0
5,h,972000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,t,590000.0,2016,11.1,,Hobsons Bay City Council,5500.0
2,h,450000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,765000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,750000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,680000.0,2016,11.1,551.0,Hobsons Bay City Council,5500.0
2,t,510000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,770000.0,2016,11.1,602.0,Hobsons Bay City Council,5500.0
3,h,923000.0,2016,11.1,740.0,Hobsons Bay City Council,5500.0
4,h,693000.0,2016,11.1,315.0,Hobsons Bay City Council,5500.0
3,h,620000.0,2016,11.1,276.0,Hobsons Bay City Council,5500.0
3,h,800000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,728500.0,2016,11.1,531.0,Hobsons Bay City Council,5500.0
3,h,931000.0,2016,11.1,590.0,Hobsons Bay City Council,5500.0
3,h,988000.0,2016,11.1,715.0,Hobsons Bay City Council,5500.0
3,h,590000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,590000.0,2016,11.1,561.0,Hobsons Bay City Council,5500.0
2,h,610000.0,2016,11.1,691.0,Hobsons Bay City Council,5500.0
3,h,815000.0,2017,11.1,555.0,Hobsons Bay City Council,5306.0
4,h,970000.0,2017,11.1,708.0,Hobsons Bay City Council,5306.0
4,h,840000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,840000.0,2016,11.1,,Hobsons Bay City Council,5500.0
4,h,760000.0,2016,11.1,668.0,Hobsons Bay City Council,5500.0
3,h,852500.0,2016,11.1,,Hobsons Bay City Council,5500.0
4,t,847500.0,2016,11.1,252.0,Hobsons Bay City Council,5500.0
4,h,1200000.0,2016,11.1,633.0,Hobsons Bay City Council,5500.0
3,h,630000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,700000.0,2016,11.1,557.0,Hobsons Bay City Council,5500.0
3,h,625000.0,2016,11.1,536.0,Hobsons Bay City Council,5500.0
2,u,292000.0,2016,11.1,153.0,Hobsons Bay City Council,5500.0
3,t,640000.0,2016,11.1,,Hobsons Bay City Council,5500.0
3,h,800000.0,2016,11.1,,Hobsons Bay City Council,5500.0
2,u,599000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,550000.0,2016,6.3,861.0,Stonnington City Council,7852.0
3,u,995000.0,2016,6.3,0.0,Stonnington City Council,7852.0
3,t,1205000.0,2016,6.3,101.0,Stonnington City Council,7852.0
3,h,2675000.0,2016,6.3,,Stonnington City Council,7852.0
3,h,1939000.0,2016,6.3,296.0,Stonnington City Council,7852.0
1,u,421500.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,585000.0,2016,6.3,,Stonnington City Council,7852.0
3,h,2050000.0,2017,6.3,,Stonnington City Council,8842.0
3,h,1870000.0,2017,6.3,217.0,Stonnington City Council,8842.0
2,u,678000.0,2017,6.3,0.0,Stonnington City Council,8842.0
3,t,1918000.0,2017,6.3,0.0,Stonnington City Council,8842.0
2,u,660000.0,2017,6.3,0.0,Stonnington City Council,8842.0
3,h,2050000.0,2017,6.3,205.0,Stonnington City Council,8842.0
2,u,700000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,3625000.0,2016,6.3,0.0,Stonnington City Council,7852.0
4,h,3000000.0,2016,6.3,1581.0,Stonnington City Council,7852.0
2,h,1930000.0,2016,6.3,,Stonnington City Council,7852.0
5,h,1525000.0,2016,6.3,693.0,Stonnington City Council,7852.0
3,u,735000.0,2016,6.3,2113.0,Stonnington City Council,7852.0
2,u,825000.0,2016,6.3,0.0,Stonnington City Council,7852.0
3,t,1586000.0,2016,6.3,246.0,Stonnington City Council,7852.0
2,u,645000.0,2016,6.3,0.0,Stonnington City Council,7852.0
1,h,1435000.0,2016,6.3,144.0,Stonnington City Council,7852.0
1,u,280000.0,2016,6.3,0.0,Stonnington City Council,7852.0
1,u,400000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,h,1780000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,592500.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,h,1210000.0,2016,6.3,249.0,Stonnington City Council,7852.0
4,h,2801000.0,2016,6.3,624.0,Stonnington City Council,7852.0
1,u,390000.0,2016,6.3,881.0,Stonnington City Council,7852.0
3,h,1800000.0,2016,6.3,405.0,Stonnington City Council,7852.0
4,h,2200000.0,2016,6.3,495.0,Stonnington City Council,7852.0
1,u,324000.0,2016,6.3,0.0,Stonnington City Council,7852.0
6,h,5525000.0,2016,6.3,1491.0,Stonnington City Council,7852.0
2,h,1125000.0,2016,6.3,169.0,Stonnington City Council,7852.0
3,h,2250000.0,2016,6.3,301.0,Stonnington City Council,7852.0
3,h,2360000.0,2017,6.3,336.0,Stonnington City Council,8842.0
2,h,1900000.0,2017,6.3,207.0,Stonnington City Council,8842.0
1,u,440000.0,2017,6.3,0.0,Stonnington City Council,8842.0
2,u,490000.0,2016,6.3,0.0,Stonnington City Council,7852.0
3,h,2365000.0,2016,6.3,316.0,Stonnington City Council,7852.0
3,h,1300000.0,2016,6.3,212.0,Stonnington City Council,7852.0
3,u,732000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,704000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,620000.0,2016,6.3,0.0,Stonnington City Council,7852.0
3,h,1900000.0,2016,6.3,328.0,Stonnington City Council,7852.0
1,u,315000.0,2016,6.3,0.0,Stonnington City Council,7852.0
3,h,1992000.0,2016,6.3,,Stonnington City Council,7852.0
1,u,450000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,710000.0,2017,6.3,2471.0,Stonnington City Council,8842.0
2,u,872000.0,2017,6.3,1194.0,Stonnington City Council,8842.0
2,u,598000.0,2017,6.3,0.0,Stonnington City Council,8842.0
3,h,1285000.0,2017,6.3,186.0,Stonnington City Council,8842.0
4,h,3660000.0,2017,6.3,421.0,Stonnington City Council,8842.0
2,u,520000.0,2016,6.3,0.0,Stonnington City Council,7852.0
4,h,2760000.0,2016,6.3,,Stonnington City Council,7852.0
2,u,690000.0,2016,6.3,,Stonnington City Council,7852.0
4,h,3625000.0,2016,6.3,709.0,Stonnington City Council,7852.0
4,h,4200000.0,2016,6.3,563.0,Stonnington City Council,7852.0
3,t,1101000.0,2016,6.3,103.0,Stonnington City Council,7852.0
3,h,3512500.0,2016,6.3,617.0,Stonnington City Council,7852.0
4,h,2000000.0,2016,6.3,544.0,Stonnington City Council,7852.0
3,u,869000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,577000.0,2016,6.3,,Stonnington City Council,7852.0
3,h,2865000.0,2016,6.3,,Stonnington City Council,7852.0
5,h,2810000.0,2016,6.3,617.0,Stonnington City Council,7852.0
2,u,565000.0,2016,6.3,0.0,Stonnington City Council,7852.0
1,u,567000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,546000.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,471500.0,2016,6.3,0.0,Stonnington City Council,7852.0
2,u,455000.0,2016,5.9,0.0,Moonee Valley City Council,6921.0
3,h,940000.0,2016,5.9,298.0,Moonee Valley City Council,6921.0
2,u,467000.0,2016,5.9,0.0,Moonee Valley City Council,6921.0
3,h,895000.0,2016,5.9,,Moonee Valley City Council,6921.0
3,h,1380000.0,2017,5.9,277.0,Moonee Valley City Council,7585.0
2,u,490000.0,2017,5.9,423.0,Moonee Valley City Council,7585.0
4,h,1850000.0,2017,5.9,478.0,Moonee Valley City Council,7585.0
3,h,1284000.0,2017,5.9,623.0,Moonee Valley City Council,7585.0
3,h,971000.0,2016,5.9,285.0,Moonee Valley City Council,6921.0
2,h,710000.0,2016,5.9,214.0,Moonee Valley City Council,6921.0
6,h,2425000.0,2016,5.9,1014.0,Moonee Valley City Council,6921.0
2,h,750000.0,2016,5.9,226.0,Moonee Valley City Council,6921.0
2,h,840000.0,2016,5.9,,Moonee Valley City Council,6921.0
2,h,1053000.0,2016,5.9,269.0,Moonee Valley City Council,6921.0
3,h,1377000.0,2016,5.9,417.0,Moonee Valley City Council,6921.0
3,h,970000.0,2016,5.9,350.0,Moonee Valley City Council,6921.0
