,Rooms,Type,Price,Year,Distance,Car,CouncilArea,Propertycount,Yearly Incidents Recorded
36,2,h,1012500.0,2016,2.5,0.0,Yarra,4019.0,10211
37,2,h,1030000.0,2016,2.5,1.0,Yarra,4019.0,10211
38,3,t,840000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
39,3,h,730000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
40,3,h,770000.0,2017,13.5,1.0,Moonee Valley,3464.0,7585
41,2,h,603000.0,2017,13.5,1.0,Moonee Valley,3464.0,7585
42,3,t,700000.0,2017,13.5,2.0,Moonee Valley,3464.0,7585
43,3,h,600000.0,2017,13.5,1.0,Moonee Valley,3464.0,7585
44,2,u,500000.0,2017,13.5,1.0,Moonee Valley,3464.0,7585
45,3,h,720000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
46,4,h,785000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
47,6,h,725000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
48,2,t,450000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
49,2,u,515000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
50,2,u,530000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
51,3,h,895000.0,2016,13.5,6.0,Moonee Valley,3464.0,6921
52,3,h,805000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
53,3,u,752000.0,2017,13.5,1.0,Moonee Valley,3464.0,7585
54,2,u,440000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
55,5,h,755000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
56,3,t,700000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
57,3,h,830000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
58,2,u,462500.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
59,3,h,670000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
60,2,h,675000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
61,3,h,1042000.0,2016,13.5,5.0,Moonee Valley,3464.0,6921
62,3,h,910000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
63,4,h,773000.0,2016,13.5,4.0,Moonee Valley,3464.0,6921
64,3,h,810000.0,2017,13.5,2.0,Moonee Valley,3464.0,7585
65,3,h,715000.0,2017,13.5,2.0,Moonee Valley,3464.0,7585
66,3,h,790000.0,2017,13.5,3.0,Moonee Valley,3464.0,7585
67,3,t,540000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
68,3,t,825000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
69,3,h,685000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
70,3,h,805000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
71,2,u,510000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
72,3,h,612000.0,2016,13.5,1.0,Moonee Valley,3464.0,6921
73,3,h,662000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
74,4,h,978000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
75,3,h,720000.0,2017,13.5,1.0,Moonee Valley,3464.0,7585
76,4,h,765000.0,2016,13.5,2.0,Moonee Valley,3464.0,6921
77,4,h,900000.0,2016,13.5,3.0,Moonee Valley,3464.0,6921
78,2,h,1275000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
79,2,h,1455000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
80,3,h,2850000.0,2017,3.3,0.0,Port Phillip,3280.0,10310
81,3,h,1850000.0,2017,3.3,0.0,Port Phillip,3280.0,10310
82,2,h,1436000.0,2017,3.3,0.0,Port Phillip,3280.0,10310
83,2,h,1110000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
84,2,h,1550000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
85,4,h,2300000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
86,3,t,1550000.0,2016,3.3,2.0,Port Phillip,3280.0,9669
87,3,h,1800000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
88,2,h,2120000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
89,3,h,1800000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
90,3,h,1800000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
91,2,h,1810000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
92,3,h,2615000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
93,5,h,2100000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
94,3,h,1300000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
95,3,h,1370000.0,2016,3.3,2.0,Port Phillip,3280.0,9669
96,2,h,1000000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
97,3,h,2575000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
98,2,h,1322500.0,2016,3.3,0.0,Port Phillip,3280.0,9669
99,2,h,1562500.0,2016,3.3,0.0,Port Phillip,3280.0,9669
100,3,h,2000000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
101,3,h,1900000.0,2017,3.3,0.0,Port Phillip,3280.0,10310
102,3,h,3010000.0,2017,3.3,0.0,Port Phillip,3280.0,10310
103,4,h,2800000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
104,2,u,647000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
105,3,h,2100000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
106,3,h,2000000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
107,1,u,442500.0,2017,3.3,0.0,Port Phillip,3280.0,10310
108,4,h,4735000.0,2017,3.3,1.0,Port Phillip,3280.0,10310
109,2,h,1340000.0,2017,3.3,0.0,Port Phillip,3280.0,10310
110,3,h,1801000.0,2017,3.3,1.0,Port Phillip,3280.0,10310
111,3,h,1532000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
112,3,h,3755000.0,2016,3.3,2.0,Port Phillip,3280.0,9669
113,4,h,2140000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
114,2,h,1750000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
115,2,h,980000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
116,3,h,2030000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
117,3,h,1740000.0,2016,3.3,2.0,Port Phillip,3280.0,9669
118,3,h,2800000.0,2016,3.3,1.0,Port Phillip,3280.0,9669
119,1,h,985000.0,2016,3.3,0.0,Port Phillip,3280.0,9669
120,4,h,2000000.0,2016,6.4,4.0,Darebin,2211.0,11612
121,3,h,1110000.0,2016,6.4,2.0,Darebin,2211.0,11612
122,3,h,1492000.0,2017,6.4,2.0,Darebin,2211.0,12872
123,4,h,1717500.0,2016,6.4,1.0,Darebin,2211.0,11612
124,5,h,2840000.0,2016,6.4,4.0,Darebin,2211.0,11612
125,2,u,525500.0,2016,6.4,1.0,Darebin,2211.0,11612
126,2,t,805000.0,2016,6.4,3.0,Darebin,2211.0,11612
127,2,u,465000.0,2016,6.4,1.0,Darebin,2211.0,11612
128,3,h,2000000.0,2016,6.4,2.0,Darebin,2211.0,11612
129,3,h,1540000.0,2016,6.4,2.0,Darebin,2211.0,11612
130,2,u,820000.0,2017,6.4,1.0,Darebin,2211.0,12872
131,4,h,1830000.0,2016,6.4,2.0,Darebin,2211.0,11612
132,4,h,2100000.0,2016,6.4,2.0,Darebin,2211.0,11612
133,3,h,865000.0,2016,6.4,1.0,Darebin,2211.0,11612
134,2,u,390000.0,2016,6.4,1.0,Darebin,2211.0,11612
135,2,t,650000.0,2016,6.4,0.0,Darebin,2211.0,11612
136,2,u,512000.0,2017,6.4,1.0,Darebin,2211.0,12872
137,3,h,1165000.0,2016,6.4,2.0,Darebin,2211.0,11612
138,4,h,1900000.0,2016,6.4,2.0,Darebin,2211.0,11612
139,3,h,1485000.0,2016,6.4,0.0,Darebin,2211.0,11612
140,4,h,1950000.0,2016,6.4,3.0,Darebin,2211.0,11612
141,3,h,520000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
142,5,h,1525000.0,2016,13.8,3.0,Hobsons Bay,5301.0,5500
143,2,t,720000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
144,3,h,1120000.0,2017,13.8,2.0,Hobsons Bay,5301.0,5306
145,4,h,780000.0,2016,13.8,4.0,Hobsons Bay,5301.0,5500
146,4,h,1780000.0,2016,13.8,6.0,Hobsons Bay,5301.0,5500
147,3,u,630000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
148,2,u,406000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
149,3,h,660000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
150,3,h,683500.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
151,2,u,580000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
152,3,h,1335000.0,2016,13.8,4.0,Hobsons Bay,5301.0,5500
153,3,t,800000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
154,2,u,510000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
155,4,h,1070000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
156,2,u,425000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
157,3,u,605000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
158,3,t,705000.0,2017,13.8,2.0,Hobsons Bay,5301.0,5306
159,2,u,391000.0,2017,13.8,1.0,Hobsons Bay,5301.0,5306
160,2,u,440000.0,2017,13.8,1.0,Hobsons Bay,5301.0,5306
161,4,h,845000.0,2017,13.8,2.0,Hobsons Bay,5301.0,5306
162,3,t,743000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
163,3,u,730000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
164,3,h,635000.0,2016,13.8,4.0,Hobsons Bay,5301.0,5500
165,2,u,620000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
166,2,u,447000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
167,3,u,730000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
168,3,h,678000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
169,2,u,580000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
170,3,h,712000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
171,3,h,840000.0,2017,13.8,2.0,Hobsons Bay,5301.0,5306
172,3,h,980000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
173,3,t,605100.0,2016,13.8,0.0,Hobsons Bay,5301.0,5500
174,3,h,880000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
175,3,u,577000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
176,4,h,1030000.0,2017,13.8,0.0,Hobsons Bay,5301.0,5306
177,3,u,605000.0,2017,13.8,2.0,Hobsons Bay,5301.0,5306
178,3,h,753000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
179,2,h,857000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
180,3,h,1500000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
181,3,u,730000.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
182,3,h,900000.0,2016,13.8,4.0,Hobsons Bay,5301.0,5500
183,3,h,740000.0,2016,13.8,2.0,Hobsons Bay,5301.0,5500
184,4,h,931000.0,2016,13.8,3.0,Hobsons Bay,5301.0,5500
185,2,h,535600.0,2016,13.8,1.0,Hobsons Bay,5301.0,5500
186,5,h,1085000.0,2016,11.1,6.0,Hobsons Bay,5132.0,5500
187,3,h,781000.0,2016,11.1,2.0,Hobsons Bay,5132.0,5500
188,3,h,750000.0,2017,11.1,3.0,Hobsons Bay,5132.0,5306
189,2,t,421000.0,2017,11.1,1.0,Hobsons Bay,5132.0,5306
190,3,h,1405000.0,2017,11.1,3.0,Hobsons Bay,5132.0,5306
191,3,h,683000.0,2016,11.1,2.0,Hobsons Bay,5132.0,5500
192,3,h,623000.0,2016,11.1,3.0,Hobsons Bay,5132.0,5500
193,3,h,720000.0,2016,11.1,1.0,Hobsons Bay,5132.0,5500
194,3,h,588000.0,2016,11.1,1.0,Hobsons Bay,5132.0,5500
195,3,h,710000.0,2016,11.1,3.0,Hobsons Bay,5132.0,5500
196,4,h,875000.0,2016,11.1,4.0,Hobsons Bay,5132.0,5500
197,3,h,700000.0,2016,11.1,3.0,Hobsons Bay,5132.0,5500
198,2,t,640000.0,2017,11.1,1.0,Hobsons Bay,5132.0,5306
199,4,h,650000.0,2016,11.1,4.0,Hobsons Bay,5132.0,5500
200,3,h,675000.0,2016,11.1,2.0,Hobsons Bay,5132.0,5500
201,3,h,708000.0,2016,11.1,2.0,Hobsons Bay,5132.0,5500
202,4,h,965000.0,2016,11.1,4.0,Hobsons Bay,5132.0,5500
203,3,h,680000.0,2016,11.1,3.0,Hobsons Bay,5132.0,5500
204,3,h,770000.0,2016,11.1,3.0,Hobsons Bay,5132.0,5500
205,3,h,923000.0,2016,11.1,2.0,Hobsons Bay,5132.0,5500
206,4,h,693000.0,2016,11.1,4.0,Hobsons Bay,5132.0,5500
207,3,h,620000.0,2016,11.1,2.0,Hobsons Bay,5132.0,5500
208,3,h,728500.0,2016,11.1,1.0,Hobsons Bay,5132.0,5500
209,3,h,931000.0,2016,11.1,1.0,Hobsons Bay,5132.0,5500
210,3,h,988000.0,2016,11.1,4.0,Hobsons Bay,5132.0,5500
211,3,h,590000.0,2016,11.1,2.0,Hobsons Bay,5132.0,5500
212,2,h,610000.0,2016,11.1,2.0,Hobsons Bay,5132.0,5500
213,3,h,815000.0,2017,11.1,3.0,Hobsons Bay,5132.0,5306
214,4,h,970000.0,2017,11.1,2.0,Hobsons Bay,5132.0,5306
215,4,h,760000.0,2016,11.1,3.0,Hobsons Bay,5132.0,5500
216,4,t,847500.0,2016,11.1,1.0,Hobsons Bay,5132.0,5500
217,4,h,1200000.0,2016,11.1,4.0,Hobsons Bay,5132.0,5500
218,3,h,700000.0,2016,11.1,1.0,Hobsons Bay,5132.0,5500
219,3,h,625000.0,2016,11.1,1.0,Hobsons Bay,5132.0,5500
220,2,u,292000.0,2016,11.1,1.0,Hobsons Bay,5132.0,5500
221,2,u,599000.0,2016,6.3,1.0,Stonnington,4836.0,7852
222,2,u,550000.0,2016,6.3,0.0,Stonnington,4836.0,7852
223,3,u,995000.0,2016,6.3,2.0,Stonnington,4836.0,7852
224,3,t,1205000.0,2016,6.3,2.0,Stonnington,4836.0,7852
225,3,h,1939000.0,2016,6.3,2.0,Stonnington,4836.0,7852
226,1,u,421500.0,2016,6.3,0.0,Stonnington,4836.0,7852
227,3,h,1870000.0,2017,6.3,1.0,Stonnington,4836.0,8842
228,2,u,678000.0,2017,6.3,2.0,Stonnington,4836.0,8842
229,3,t,1918000.0,2017,6.3,2.0,Stonnington,4836.0,8842
230,2,u,660000.0,2017,6.3,1.0,Stonnington,4836.0,8842
231,3,h,2050000.0,2017,6.3,1.0,Stonnington,4836.0,8842
232,2,u,700000.0,2016,6.3,2.0,Stonnington,4836.0,7852
233,2,u,3625000.0,2016,6.3,2.0,Stonnington,4836.0,7852
234,4,h,3000000.0,2016,6.3,2.0,Stonnington,4836.0,7852
235,5,h,1525000.0,2016,6.3,2.0,Stonnington,4836.0,7852
236,3,u,735000.0,2016,6.3,1.0,Stonnington,4836.0,7852
237,2,u,825000.0,2016,6.3,1.0,Stonnington,4836.0,7852
238,3,t,1586000.0,2016,6.3,2.0,Stonnington,4836.0,7852
239,2,u,645000.0,2016,6.3,1.0,Stonnington,4836.0,7852
240,1,h,1435000.0,2016,6.3,1.0,Stonnington,4836.0,7852
241,1,u,280000.0,2016,6.3,1.0,Stonnington,4836.0,7852
242,1,u,400000.0,2016,6.3,1.0,Stonnington,4836.0,7852
243,2,h,1780000.0,2016,6.3,2.0,Stonnington,4836.0,7852
244,2,u,592500.0,2016,6.3,1.0,Stonnington,4836.0,7852
245,2,h,1210000.0,2016,6.3,0.0,Stonnington,4836.0,7852
246,4,h,2801000.0,2016,6.3,2.0,Stonnington,4836.0,7852
247,1,u,390000.0,2016,6.3,0.0,Stonnington,4836.0,7852
248,3,h,1800000.0,2016,6.3,2.0,Stonnington,4836.0,7852
249,4,h,2200000.0,2016,6.3,2.0,Stonnington,4836.0,7852
250,1,u,324000.0,2016,6.3,1.0,Stonnington,4836.0,7852
251,6,h,5525000.0,2016,6.3,4.0,Stonnington,4836.0,7852
252,2,h,1125000.0,2016,6.3,2.0,Stonnington,4836.0,7852
253,3,h,2250000.0,2016,6.3,1.0,Stonnington,4836.0,7852
254,3,h,2360000.0,2017,6.3,0.0,Stonnington,4836.0,8842
255,2,h,1900000.0,2017,6.3,0.0,Stonnington,4836.0,8842
256,1,u,440000.0,2017,6.3,1.0,Stonnington,4836.0,8842
257,2,u,490000.0,2016,6.3,1.0,Stonnington,4836.0,7852
258,3,h,2365000.0,2016,6.3,1.0,Stonnington,4836.0,7852
259,3,h,1300000.0,2016,6.3,2.0,Stonnington,4836.0,7852
260,3,u,732000.0,2016,6.3,2.0,Stonnington,4836.0,7852
261,2,u,704000.0,2016,6.3,1.0,Stonnington,4836.0,7852
262,2,u,620000.0,2016,6.3,1.0,Stonnington,4836.0,7852
263,3,h,1900000.0,2016,6.3,2.0,Stonnington,4836.0,7852
264,1,u,315000.0,2016,6.3,1.0,Stonnington,4836.0,7852
265,1,u,450000.0,2016,6.3,1.0,Stonnington,4836.0,7852
266,2,u,710000.0,2017,6.3,1.0,Stonnington,4836.0,8842
267,2,u,872000.0,2017,6.3,1.0,Stonnington,4836.0,8842
268,2,u,598000.0,2017,6.3,1.0,Stonnington,4836.0,8842
269,3,h,1285000.0,2017,6.3,2.0,Stonnington,4836.0,8842
270,4,h,3660000.0,2017,6.3,2.0,Stonnington,4836.0,8842
271,2,u,520000.0,2016,6.3,1.0,Stonnington,4836.0,7852
272,4,h,3625000.0,2016,6.3,2.0,Stonnington,4836.0,7852
273,4,h,4200000.0,2016,6.3,3.0,Stonnington,4836.0,7852
274,3,t,1101000.0,2016,6.3,2.0,Stonnington,4836.0,7852
275,3,h,3512500.0,2016,6.3,2.0,Stonnington,4836.0,7852
276,4,h,2000000.0,2016,6.3,4.0,Stonnington,4836.0,7852
277,3,u,869000.0,2016,6.3,1.0,Stonnington,4836.0,7852
278,5,h,2810000.0,2016,6.3,2.0,Stonnington,4836.0,7852
279,2,u,565000.0,2016,6.3,1.0,Stonnington,4836.0,7852
280,1,u,567000.0,2016,6.3,1.0,Stonnington,4836.0,7852
281,2,u,546000.0,2016,6.3,0.0,Stonnington,4836.0,7852
282,2,u,471500.0,2016,6.3,1.0,Stonnington,4836.0,7852
283,2,u,455000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
284,3,h,940000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
285,2,u,467000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
286,3,h,1380000.0,2017,5.9,2.0,Moonee Valley,6567.0,7585
287,2,u,490000.0,2017,5.9,1.0,Moonee Valley,6567.0,7585
288,4,h,1850000.0,2017,5.9,1.0,Moonee Valley,6567.0,7585
289,3,h,1284000.0,2017,5.9,2.0,Moonee Valley,6567.0,7585
290,3,h,971000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
291,2,h,710000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
292,6,h,2425000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
293,2,h,750000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
294,2,h,1053000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
295,3,h,1377000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
296,3,h,970000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
297,2,h,940000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
298,2,h,751000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
299,2,h,950000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
300,2,u,685000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
301,3,h,1230000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
302,2,h,636500.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
303,3,h,910000.0,2016,5.9,0.0,Moonee Valley,6567.0,6921
304,2,h,770000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
305,3,h,960000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
306,4,h,890000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
307,2,h,965000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
308,3,h,1440000.0,2017,5.9,1.0,Moonee Valley,6567.0,7585
309,2,h,955000.0,2017,5.9,0.0,Moonee Valley,6567.0,7585
310,2,u,450000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
311,3,h,801000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
312,3,h,1000000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
313,3,h,1435000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
314,1,u,390000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
315,3,h,1425000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
316,4,h,1340000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
317,3,h,955000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
318,4,h,1100000.0,2016,5.9,5.0,Moonee Valley,6567.0,6921
319,3,h,1255000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
320,2,u,432000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
321,4,h,1640000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
322,6,h,1430000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
323,2,u,610000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
324,3,h,940000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
325,3,h,890000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
326,3,h,1180000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
327,4,h,1480000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
328,2,h,1150000.0,2017,5.9,1.0,Moonee Valley,6567.0,7585
329,3,h,1350000.0,2017,5.9,3.0,Moonee Valley,6567.0,7585
330,5,h,1905000.0,2017,5.9,2.0,Moonee Valley,6567.0,7585
331,2,t,865000.0,2017,5.9,1.0,Moonee Valley,6567.0,7585
332,2,t,705000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
333,2,u,442000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
334,2,u,540000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
335,3,h,1037500.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
336,3,t,1050000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
337,2,u,440000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
338,2,h,1010000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
339,4,h,1430000.0,2016,5.9,0.0,Moonee Valley,6567.0,6921
340,2,u,570000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
341,2,u,690000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
342,3,h,1291000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
343,3,h,1130000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
344,3,h,1135000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
345,4,h,950000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
346,3,u,790000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
347,2,u,390000.0,2017,5.9,1.0,Moonee Valley,6567.0,7585
348,4,h,1345000.0,2017,5.9,1.0,Moonee Valley,6567.0,7585
349,3,h,1381500.0,2017,5.9,2.0,Moonee Valley,6567.0,7585
350,3,h,940000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
351,3,h,995000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
352,3,h,1050000.0,2016,5.9,3.0,Moonee Valley,6567.0,6921
353,3,h,786000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
354,2,h,705000.0,2016,5.9,3.0,Moonee Valley,6567.0,6921
355,2,h,760000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
356,3,u,487500.0,2016,5.9,3.0,Moonee Valley,6567.0,6921
357,3,t,1000000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
358,4,h,1110000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
359,4,h,1300000.0,2016,5.9,4.0,Moonee Valley,6567.0,6921
360,3,h,1060000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
361,3,h,1410000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
362,3,h,1305000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
363,3,h,932500.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
364,3,h,965000.0,2016,5.9,0.0,Moonee Valley,6567.0,6921
365,3,h,1215000.0,2016,5.9,1.0,Moonee Valley,6567.0,6921
366,2,u,545000.0,2016,5.9,2.0,Moonee Valley,6567.0,6921
367,4,h,1705000.0,2016,5.9,4.0,Moonee Valley,6567.0,6921
