,Distance,Car,Rooms,Propertycount,Yearly Incidents Recorded
254,12.2,2.0,3,2894.0,7634
255,12.2,2.0,3,2894.0,7634
256,12.2,2.0,3,2894.0,7634
257,10.5,1.0,3,4502.0,6921
258,10.5,1.0,3,4502.0,6921
259,10.5,1.0,3,4502.0,6921
260,10.5,2.0,4,4502.0,6921
261,10.5,2.0,3,4502.0,6921
262,10.5,1.0,3,4502.0,6921
263,10.5,3.0,4,4502.0,6921
264,10.5,1.0,3,4502.0,6921
265,10.5,2.0,4,4502.0,6921
266,10.5,1.0,3,4502.0,6921
267,10.5,1.0,2,4502.0,6921
268,10.5,2.0,4,4502.0,6921
269,10.5,3.0,3,4502.0,7585
270,10.5,2.0,4,4502.0,6921
271,10.5,1.0,2,4502.0,6921
272,10.5,2.0,3,4502.0,6921
273,10.5,1.0,3,4502.0,6921
274,6.6,1.0,4,2952.0,9669
275,6.6,2.0,2,2952.0,9669
276,6.6,2.0,2,2952.0,9669
277,6.6,1.0,2,2952.0,9669
278,6.6,0.0,2,2952.0,9669
279,6.6,1.0,2,2952.0,9669
280,6.6,1.0,3,2952.0,9669
281,6.6,1.0,2,2952.0,9669
282,6.6,1.0,2,2952.0,9669
283,6.6,0.0,2,2952.0,10310
284,6.6,2.0,3,2952.0,10310
285,6.6,1.0,2,2952.0,9669
286,9.7,1.0,2,5682.0,6023
287,9.7,2.0,4,5682.0,6023
288,9.7,1.0,2,5682.0,6023
289,9.7,2.0,3,5682.0,6023
290,9.7,2.0,5,5682.0,6023
291,9.7,2.0,4,5682.0,6023
292,9.7,1.0,2,5682.0,6023
293,9.7,7.0,6,5682.0,6023
294,9.7,2.0,5,5682.0,6023
295,9.7,2.0,5,5682.0,6023
296,9.7,1.0,2,5682.0,6023
297,9.7,1.0,3,5682.0,6023
298,9.7,1.0,2,5682.0,6023
299,9.7,2.0,3,5682.0,6023
300,9.7,2.0,4,5682.0,6023
301,9.7,1.0,2,5682.0,6023
302,9.7,1.0,2,5682.0,6023
303,9.7,2.0,3,5682.0,6023
304,9.7,2.0,4,5682.0,6023
305,9.7,1.0,2,5682.0,6023
306,9.7,2.0,3,5682.0,6023
307,9.7,2.0,4,5682.0,6023
308,9.7,4.0,4,5682.0,6023
309,9.7,1.0,2,5682.0,6023
310,9.7,2.0,4,5682.0,6023
311,9.7,1.0,2,5682.0,6023
312,9.7,2.0,2,5682.0,6023
313,9.7,2.0,3,5682.0,6023
314,9.7,1.0,2,5682.0,6793
315,9.7,2.0,4,5682.0,6023
316,9.7,1.0,2,5682.0,6023
317,9.7,2.0,4,5682.0,6023
318,9.7,1.0,4,5682.0,6023
319,9.7,1.0,2,5682.0,6023
320,9.7,2.0,4,5682.0,6023
321,9.7,1.0,4,5682.0,6023
322,9.7,1.0,3,5682.0,6023
323,9.7,3.0,3,5682.0,6023
324,9.7,2.0,5,5682.0,6023
325,9.7,2.0,5,5682.0,6023
326,9.7,1.0,2,5682.0,6023
327,9.7,2.0,3,5682.0,6023
328,9.7,1.0,4,5682.0,6023
329,9.2,2.0,3,7809.0,6023
330,9.2,1.0,3,7809.0,6023
331,9.2,3.0,4,7809.0,6023
332,9.2,2.0,4,7809.0,6023
333,9.2,2.0,5,7809.0,6023
334,9.2,2.0,4,7809.0,6023
335,9.2,2.0,3,7809.0,6023
336,9.2,2.0,4,7809.0,6023
337,9.2,1.0,3,7809.0,6023
338,9.2,2.0,4,7809.0,6793
339,9.2,2.0,3,7809.0,6793
340,9.2,2.0,4,7809.0,6793
341,9.2,3.0,4,7809.0,6793
342,9.2,2.0,5,7809.0,6023
343,9.2,1.0,3,7809.0,6023
344,9.2,2.0,4,7809.0,6023
345,9.2,2.0,5,7809.0,6023
346,9.2,2.0,4,7809.0,6023
347,9.2,2.0,4,7809.0,6023
348,9.2,2.0,5,7809.0,6023
349,9.2,2.0,4,7809.0,6023
350,9.2,2.0,4,7809.0,6023
351,9.2,1.0,4,7809.0,6023
352,9.2,4.0,4,7809.0,6023
353,9.2,2.0,4,7809.0,6023
354,9.2,2.0,5,7809.0,6023
355,9.2,3.0,3,7809.0,6023
356,9.2,1.0,3,7809.0,6023
357,9.2,3.0,7,7809.0,6023
358,9.2,2.0,4,7809.0,6023
359,9.2,2.0,5,7809.0,6023
360,9.2,2.0,5,7809.0,6023
361,9.2,4.0,3,7809.0,6023
362,9.2,1.0,3,7809.0,6023
363,9.2,2.0,4,7809.0,6023
364,9.2,1.0,4,7809.0,6023
365,9.2,2.0,3,7809.0,6023
366,9.2,2.0,4,7809.0,6793
367,9.2,2.0,4,7809.0,6793
368,9.2,1.0,4,7809.0,6793
369,9.2,4.0,5,7809.0,6023
370,9.2,2.0,4,7809.0,6023
371,9.2,3.0,3,7809.0,6023
372,9.2,1.0,2,7809.0,6023
373,9.2,2.0,3,7809.0,6023
374,9.2,4.0,4,7809.0,6023
375,9.2,1.0,2,7809.0,6023
376,9.2,2.0,4,7809.0,6793
377,9.2,2.0,5,7809.0,6023
378,9.2,2.0,4,7809.0,6023
379,9.2,5.0,4,7809.0,6023
380,9.2,2.0,3,7809.0,6023
381,9.2,2.0,5,7809.0,6023
382,9.2,3.0,5,7809.0,6023
383,9.2,1.0,3,7809.0,6023
384,9.2,2.0,5,7809.0,6023
385,9.2,1.0,3,7809.0,6023
386,9.2,1.0,2,7809.0,6023
387,13.0,2.0,3,6795.0,5024
388,13.0,2.0,3,6795.0,5024
389,13.0,1.0,2,6795.0,5024
390,13.0,2.0,3,6795.0,5024
391,13.0,1.0,3,6795.0,5024
392,13.0,1.0,2,6795.0,5024
393,13.0,2.0,4,6795.0,5024
394,13.0,2.0,3,6795.0,5024
395,13.0,2.0,4,6795.0,5024
396,13.0,1.0,3,6795.0,5024
397,13.0,2.0,4,6795.0,5024
398,13.0,2.0,3,6795.0,5024
399,13.0,2.0,4,6795.0,5024
400,13.0,1.0,3,6795.0,5024
401,13.0,2.0,4,6795.0,5024
402,13.0,4.0,3,6795.0,5024
403,13.0,1.0,2,6795.0,5024
404,13.0,1.0,2,6795.0,5024
405,13.0,4.0,4,6795.0,5024
406,13.0,2.0,4,6795.0,5024
407,13.0,3.0,2,6795.0,5024
408,13.0,3.0,4,6795.0,5024
409,13.0,1.0,2,6795.0,5024
410,13.0,1.0,3,6795.0,5024
411,13.0,2.0,3,6795.0,5024
412,13.0,3.0,4,6795.0,5024
413,13.0,2.0,3,6795.0,5024
414,13.0,1.0,3,6795.0,5024
415,13.0,1.0,2,6795.0,5707
416,13.0,2.0,3,6795.0,5707
417,13.0,2.0,3,6795.0,5707
418,13.0,2.0,3,6795.0,5024
419,13.0,4.0,4,6795.0,5024
420,13.0,3.0,2,6795.0,5024
421,13.0,2.0,4,6795.0,5024
422,13.0,2.0,2,6795.0,5024
423,13.0,2.0,4,6795.0,5024
424,13.0,2.0,5,6795.0,5707
425,13.0,1.0,2,6795.0,5024
426,13.0,1.0,2,6795.0,5024
427,13.0,3.0,4,6795.0,5024
428,13.0,2.0,6,6795.0,5024
429,13.0,2.0,3,6795.0,5024
430,13.0,5.0,4,6795.0,5024
431,13.0,2.0,5,6795.0,5024
432,13.0,2.0,4,6795.0,5024
433,13.9,1.0,2,10969.0,5024
434,13.9,2.0,2,10969.0,5024
435,13.9,2.0,5,10969.0,5024
436,13.9,2.0,3,10969.0,5707
437,13.9,1.0,2,10969.0,5024
438,13.9,2.0,4,10969.0,5024
439,13.9,2.0,3,10969.0,5024
440,13.9,2.0,3,10969.0,5024
441,13.9,2.0,4,10969.0,5024
442,13.9,2.0,4,10969.0,5024
443,13.9,3.0,3,10969.0,5024
444,13.9,2.0,4,10969.0,5024
445,13.9,2.0,3,10969.0,5024
446,13.9,4.0,5,10969.0,5024
447,13.9,1.0,2,10969.0,5024
448,13.9,2.0,3,10969.0,5024
449,13.9,1.0,2,10969.0,5024
450,13.9,2.0,3,10969.0,5024
451,13.9,2.0,3,10969.0,5024
452,13.9,1.0,4,10969.0,5024
453,13.9,1.0,2,10969.0,5024
454,13.9,2.0,4,10969.0,5024
455,13.9,2.0,4,10969.0,5024
456,13.9,1.0,4,10969.0,5024
457,13.9,2.0,3,10969.0,5024
458,13.9,1.0,3,10969.0,5024
459,13.9,2.0,3,10969.0,5024
460,13.9,1.0,2,10969.0,5024
461,13.9,2.0,3,10969.0,5024
462,13.9,1.0,2,10969.0,5024
463,13.9,1.0,3,10969.0,5024
464,13.9,1.0,4,10969.0,5024
465,13.9,4.0,3,10969.0,5024
466,13.9,1.0,2,10969.0,5024
467,13.9,2.0,3,10969.0,5024
468,13.9,1.0,3,10969.0,5024
469,13.9,2.0,4,10969.0,5024
470,13.9,2.0,4,10969.0,5024
471,13.9,2.0,4,10969.0,5024
472,13.9,2.0,5,10969.0,5024
473,13.9,1.0,3,10969.0,5024
474,13.9,2.0,3,10969.0,5024
475,13.9,2.0,4,10969.0,5024
476,13.9,2.0,4,10969.0,5024
477,13.9,2.0,4,10969.0,5024
478,13.9,1.0,3,10969.0,5024
479,13.9,3.0,3,10969.0,5024
480,13.9,2.0,3,10969.0,5707
481,13.9,2.0,3,10969.0,5707
482,13.9,1.0,4,10969.0,5024
483,13.9,1.0,2,10969.0,5024
484,13.9,2.0,5,10969.0,5024
485,13.9,1.0,3,10969.0,5024
486,13.9,2.0,4,10969.0,5024
487,13.9,1.0,3,10969.0,5024
488,13.9,1.0,3,10969.0,5024
489,13.9,2.0,3,10969.0,5024
490,13.9,2.0,3,10969.0,5024
491,13.9,2.0,3,10969.0,5024
492,13.9,2.0,4,10969.0,5024
493,13.9,2.0,3,10969.0,5024
494,13.9,2.0,2,10969.0,5024
495,13.9,1.0,4,10969.0,5024
496,13.9,2.0,4,10969.0,5024
497,13.9,1.0,3,10969.0,5024
498,13.9,2.0,3,10969.0,5024
499,13.9,3.0,3,10969.0,5024
500,13.9,3.0,3,10969.0,5024
501,13.9,2.0,3,10969.0,5024
502,13.9,2.0,4,10969.0,5707
503,13.9,1.0,3,10969.0,5707
504,13.9,1.0,1,10969.0,5707
505,13.9,2.0,4,10969.0,5707
506,13.9,1.0,3,10969.0,5707
507,13.9,2.0,4,10969.0,5707
508,13.9,1.0,4,10969.0,5707
509,13.9,1.0,3,10969.0,5024
510,13.9,1.0,2,10969.0,5024
511,13.9,1.0,2,10969.0,5024
512,13.9,2.0,5,10969.0,5024
513,13.9,2.0,3,10969.0,5024
514,13.9,2.0,3,10969.0,5024
515,13.9,1.0,3,10969.0,5024
516,13.9,3.0,4,10969.0,5024
517,13.9,2.0,4,10969.0,5024
518,13.9,1.0,3,10969.0,5024
519,13.9,1.0,3,10969.0,5024
520,13.9,2.0,4,10969.0,5024
521,13.9,2.0,2,10969.0,5024
522,13.1,2.0,4,4605.0,5789
523,13.1,1.0,2,4605.0,6419
524,13.1,3.0,4,4605.0,5789
525,13.1,2.0,3,4605.0,5789
526,13.1,2.0,3,4605.0,5789
527,13.1,0.0,3,4605.0,5789
528,13.1,2.0,3,4605.0,5789
529,13.1,1.0,2,4605.0,5789
530,13.1,2.0,4,4605.0,5789
531,13.1,1.0,3,4605.0,5789
532,13.1,1.0,3,4605.0,5789
533,13.1,1.0,3,4605.0,5789
534,13.1,2.0,3,4605.0,5789
535,13.1,1.0,4,4605.0,5789
536,13.1,2.0,4,4605.0,5789
537,13.1,1.0,3,4605.0,5789
538,13.1,4.0,4,4605.0,5789
539,13.1,2.0,3,4605.0,5789
540,13.1,1.0,3,4605.0,5789
541,13.1,1.0,2,4605.0,5789
542,13.1,1.0,3,4605.0,5789
543,13.1,2.0,4,4605.0,6419
544,13.1,1.0,3,4605.0,5789
545,13.1,1.0,3,4605.0,5789
546,10.8,1.0,2,3589.0,6992
547,10.8,1.0,3,3589.0,7189
548,10.8,1.0,3,3589.0,6992
549,10.8,4.0,2,3589.0,6992
550,10.8,1.0,4,3589.0,6992
551,10.8,1.0,3,3589.0,6992
552,10.8,2.0,4,3589.0,6992
553,10.8,3.0,3,3589.0,6992
554,10.8,2.0,4,3589.0,6992
555,10.8,2.0,3,3589.0,7189
556,10.8,1.0,4,3589.0,6992
557,10.8,0.0,3,3589.0,7189
558,10.8,1.0,3,3589.0,6992
559,10.8,1.0,3,3589.0,7189
560,10.8,1.0,2,3589.0,7189
561,10.8,1.0,4,3589.0,6992
562,10.8,1.0,3,3589.0,6992
563,10.8,1.0,3,3589.0,6992
564,11.2,2.0,3,10579.0,3710
565,11.2,2.0,4,10579.0,3710
566,11.2,2.0,2,10579.0,3710
567,11.2,2.0,4,10579.0,3710
568,11.2,2.0,3,10579.0,3710
569,11.2,2.0,3,10579.0,4052
570,11.2,1.0,4,10579.0,4052
571,11.2,2.0,2,10579.0,4052
572,11.2,2.0,3,10579.0,4052
573,11.2,2.0,3,10579.0,3710
574,11.2,1.0,2,10579.0,3710
575,11.2,3.0,4,10579.0,3710
576,11.2,2.0,3,10579.0,3710
577,11.2,1.0,5,10579.0,3710
578,11.2,2.0,2,10579.0,3710
579,11.2,1.0,4,10579.0,3710
580,11.2,2.0,5,10579.0,3710
581,11.2,1.0,2,10579.0,3710
582,11.2,2.0,3,10579.0,3710
583,11.2,2.0,3,10579.0,3710
584,11.2,2.0,5,10579.0,3710
585,11.2,2.0,3,10579.0,3710
586,11.2,2.0,4,10579.0,3710
587,11.2,2.0,2,10579.0,3710
588,11.2,1.0,3,10579.0,3710
589,11.2,0.0,2,10579.0,3710
590,11.2,1.0,3,10579.0,3710
591,11.2,2.0,3,10579.0,3710
592,11.2,2.0,3,10579.0,3710
593,11.2,2.0,5,10579.0,3710
594,11.2,2.0,4,10579.0,3710
595,11.2,1.0,1,10579.0,3710
596,11.2,1.0,2,10579.0,3710
597,11.2,2.0,5,10579.0,3710
598,11.2,2.0,3,10579.0,3710
599,11.2,2.0,3,10579.0,3710
600,11.2,1.0,2,10579.0,4052
601,11.2,4.0,4,10579.0,4052
602,11.2,4.0,5,10579.0,3710
603,11.2,2.0,4,10579.0,3710
604,11.2,2.0,4,10579.0,3710
605,11.2,2.0,4,10579.0,3710
606,11.2,1.0,2,10579.0,3710
607,11.2,2.0,2,10579.0,3710
608,11.2,2.0,2,10579.0,4052
609,11.2,2.0,4,10579.0,4052
610,11.2,2.0,4,10579.0,4052
611,11.2,2.0,4,10579.0,3710
612,11.2,1.0,1,10579.0,3710
613,11.2,2.0,4,10579.0,3710
614,11.2,1.0,3,10579.0,3710
615,11.2,2.0,4,10579.0,3710
616,11.2,1.0,3,10579.0,3710
617,11.2,2.0,5,10579.0,3710
618,11.2,1.0,4,10579.0,3710
619,10.7,2.0,4,6938.0,3710
620,10.7,2.0,4,6938.0,3710
621,10.7,1.0,3,6938.0,3710
622,10.7,2.0,4,6938.0,3710
623,10.7,2.0,4,6938.0,3710
624,10.7,1.0,2,6938.0,4052
625,10.7,2.0,4,6938.0,3710
626,10.7,1.0,5,6938.0,3710
627,10.7,4.0,5,6938.0,3710
628,10.7,2.0,3,6938.0,3710
629,10.7,3.0,3,6938.0,3710
630,10.7,2.0,5,6938.0,3710
631,10.7,2.0,2,6938.0,3710
632,10.7,5.0,5,6938.0,3710
633,10.7,1.0,2,6938.0,3710
634,10.7,2.0,3,6938.0,3710
635,10.7,2.0,3,6938.0,3710
636,10.7,2.0,4,6938.0,3710
637,10.7,2.0,2,6938.0,3710
638,10.7,4.0,4,6938.0,3710
639,10.7,3.0,5,6938.0,3710
640,10.7,2.0,3,6938.0,4052
641,10.7,1.0,4,6938.0,4052
642,10.7,2.0,3,6938.0,3710
643,10.7,2.0,5,6938.0,3710
644,10.7,0.0,5,6938.0,3710
645,10.7,2.0,4,6938.0,3710
646,10.7,1.0,4,6938.0,3710
647,10.7,4.0,4,6938.0,3710
648,10.7,2.0,5,6938.0,3710
649,10.7,2.0,2,6938.0,3710
650,10.7,2.0,3,6938.0,3710
651,10.7,2.0,2,6938.0,3710
652,10.7,3.0,5,6938.0,3710
653,10.7,2.0,3,6938.0,3710
654,10.7,2.0,3,6938.0,3710
655,10.7,2.0,4,6938.0,3710
656,10.7,2.0,4,6938.0,3710
657,10.7,1.0,1,6938.0,3710
658,10.7,2.0,2,6938.0,3710
659,10.7,1.0,1,6938.0,4052
660,10.7,1.0,2,6938.0,3710
661,10.7,2.0,4,6938.0,3710
662,10.7,1.0,2,6938.0,3710
663,10.7,4.0,4,6938.0,3710
664,10.7,2.0,2,6938.0,3710
665,10.7,2.0,5,6938.0,3710
666,10.7,2.0,3,6938.0,3710
667,10.7,2.0,4,6938.0,3710
668,10.7,2.0,4,6938.0,3710
669,10.7,1.0,2,6938.0,3710
670,5.2,0.0,2,11918.0,10959
671,5.2,1.0,4,11918.0,10959
672,5.2,1.0,4,11918.0,10959
673,5.2,3.0,4,11918.0,11641
674,5.2,1.0,2,11918.0,10959
675,5.2,1.0,1,11918.0,10959
676,5.2,1.0,3,11918.0,10959
677,5.2,1.0,2,11918.0,10959
678,5.2,0.0,3,11918.0,10959
679,5.2,1.0,2,11918.0,10959
680,5.2,1.0,2,11918.0,10959
681,5.2,1.0,2,11918.0,10959
682,5.2,1.0,2,11918.0,10959
683,5.2,1.0,2,11918.0,10959
684,5.2,0.0,4,11918.0,10959
685,5.2,1.0,3,11918.0,10959
686,5.2,1.0,3,11918.0,10959
687,5.2,1.0,3,11918.0,10959
688,5.2,1.0,2,11918.0,10959
689,5.2,1.0,2,11918.0,10959
690,5.2,1.0,3,11918.0,10959
691,5.2,0.0,3,11918.0,10959
692,5.2,2.0,3,11918.0,11641
693,5.2,1.0,2,11918.0,10959
694,5.2,0.0,3,11918.0,10959
695,5.2,1.0,2,11918.0,10959
