,CouncilArea,Population Density,Rooms,Type,Price,Distance,Car,Landsize,Propertycount,Yearly Incidents Recorded
103,Banyule,2082.5,4,h,820000.0,9.4,2.0,608.0,2674.0,7061
104,Banyule,2082.5,2,h,725000.0,9.4,3.0,632.0,2674.0,7061
105,Banyule,2082.5,2,h,705000.0,9.4,1.0,583.0,2674.0,7061
106,Banyule,2082.5,3,h,710000.0,9.4,4.0,1.0,2674.0,7061
107,Banyule,2082.5,2,h,415000.0,9.4,1.0,422.0,2674.0,7061
108,Banyule,2082.5,3,h,392000.0,9.4,2.0,372.0,2674.0,7061
109,Banyule,2082.5,3,h,961000.0,9.4,2.0,1179.0,2674.0,7061
110,Banyule,2082.5,3,h,507000.0,9.4,1.0,536.0,2674.0,7061
111,Banyule,2082.5,3,h,465000.0,9.4,1.0,413.0,2674.0,7061
112,Banyule,2082.5,3,h,675000.0,9.4,2.0,665.0,2674.0,7061
113,Banyule,2082.5,2,u,480000.0,7.9,1.0,0.0,5549.0,7061
114,Banyule,2082.5,2,u,430000.0,7.9,1.0,0.0,5549.0,7061
115,Banyule,2082.5,1,u,460000.0,7.9,0.0,75.0,5549.0,7061
116,Banyule,2082.5,4,h,1601000.0,7.9,2.0,610.0,5549.0,7061
117,Banyule,2082.5,4,h,2265000.0,7.9,2.0,925.0,5549.0,7391
118,Banyule,2082.5,3,h,1680000.0,7.9,2.0,665.0,5549.0,7391
119,Banyule,2082.5,2,u,440000.0,7.9,0.0,0.0,5549.0,7391
120,Banyule,2082.5,4,h,2350000.0,7.9,2.0,638.0,5549.0,7391
121,Banyule,2082.5,3,t,962000.0,7.9,1.0,108.0,5549.0,7391
122,Banyule,2082.5,3,h,981000.0,7.9,2.0,626.0,5549.0,7061
123,Banyule,2082.5,4,h,2400000.0,7.9,2.0,1252.0,5549.0,7061
124,Banyule,2082.5,3,t,890000.0,7.9,2.0,249.0,5549.0,7061
125,Banyule,2082.5,2,u,490000.0,7.9,1.0,0.0,5549.0,7061
126,Banyule,2082.5,2,u,739000.0,7.9,1.0,648.0,5549.0,7061
127,Banyule,2082.5,3,h,1340000.0,7.9,1.0,571.0,5549.0,7061
128,Banyule,2082.5,3,h,785000.0,7.9,0.0,399.0,5549.0,7061
129,Banyule,2082.5,3,h,1155000.0,7.9,2.0,537.0,5549.0,7061
130,Banyule,2082.5,4,h,1300000.0,7.9,1.0,586.0,5549.0,7061
131,Banyule,2082.5,2,h,1020000.0,7.9,1.0,557.0,5549.0,7061
132,Banyule,2082.5,3,h,1796000.0,7.9,1.0,614.0,5549.0,7061
133,Banyule,2082.5,2,h,790000.0,7.9,1.0,221.0,5549.0,7061
134,Banyule,2082.5,3,h,1465000.0,7.9,2.0,630.0,5549.0,7061
135,Banyule,2082.5,3,t,855000.0,7.9,2.0,0.0,5549.0,7061
136,Banyule,2082.5,2,u,705000.0,7.9,1.0,94.0,5549.0,7061
137,Banyule,2082.5,2,u,504000.0,7.9,1.0,0.0,5549.0,7061
138,Banyule,2082.5,1,u,413000.0,7.9,1.0,845.0,5549.0,7061
139,Banyule,2082.5,3,t,1010000.0,7.9,2.0,314.0,5549.0,7061
140,Banyule,2082.5,3,h,1220000.0,7.9,1.0,687.0,5549.0,7391
141,Banyule,2082.5,3,h,1605000.0,7.9,2.0,608.0,5549.0,7061
142,Banyule,2082.5,2,u,587000.0,7.9,1.0,721.0,5549.0,7061
143,Banyule,2082.5,2,u,475000.0,7.9,1.0,0.0,5549.0,7061
144,Banyule,2082.5,3,h,1075000.0,7.9,2.0,677.0,5549.0,7061
145,Banyule,2082.5,2,u,465000.0,7.9,1.0,795.0,5549.0,7061
146,Banyule,2082.5,2,t,610000.0,7.9,1.0,277.0,5549.0,7061
147,Banyule,2082.5,2,u,690000.0,7.9,1.0,103.0,5549.0,7061
148,Banyule,2082.5,3,h,1535000.0,7.9,2.0,691.0,5549.0,7061
149,Banyule,2082.5,4,h,1470000.0,7.9,1.0,694.0,5549.0,7061
150,Banyule,2082.5,3,h,1486000.0,7.9,2.0,645.0,5549.0,7061
151,Banyule,2082.5,1,u,420000.0,7.9,1.0,55.0,5549.0,7061
152,Banyule,2082.5,3,t,750000.0,7.9,1.0,110.0,5549.0,7061
153,Banyule,2082.5,2,u,460000.0,7.9,0.0,0.0,5549.0,7061
154,Banyule,2082.5,4,h,1615000.0,7.9,3.0,758.0,5549.0,7061
155,Banyule,2082.5,5,h,1730000.0,7.9,2.0,689.0,5549.0,7061
156,Banyule,2082.5,2,t,779000.0,7.9,2.0,152.0,5549.0,7061
157,Banyule,2082.5,3,h,1850000.0,7.9,2.0,684.0,5549.0,7391
158,Banyule,2082.5,2,h,1910000.0,7.9,2.0,760.0,5549.0,7391
159,Banyule,2082.5,5,h,2600000.0,7.9,1.0,1006.0,5549.0,7061
160,Banyule,2082.5,2,u,500000.0,7.9,1.0,71.0,5549.0,7061
161,Banyule,2082.5,3,h,950000.0,7.9,2.0,290.0,5549.0,7061
162,Banyule,2082.5,2,u,450000.0,7.9,1.0,0.0,5549.0,7061
163,Banyule,2082.5,3,h,1102000.0,7.9,1.0,597.0,5549.0,7061
164,Banyule,2082.5,3,h,1275000.0,7.9,2.0,834.0,5549.0,7061
165,Banyule,2082.5,3,h,1065000.0,7.9,1.0,596.0,5549.0,7061
166,Banyule,2082.5,2,t,785000.0,7.9,1.0,124.0,5549.0,7061
167,Banyule,2082.5,3,h,1223500.0,7.9,2.0,721.0,5549.0,7061
168,Banyule,2082.5,2,u,845000.0,7.9,2.0,147.0,5549.0,7061
169,Banyule,2082.5,4,h,1720000.0,7.9,3.0,631.0,5549.0,7061
170,Banyule,2082.5,3,h,1225000.0,7.9,1.0,572.0,5549.0,7061
171,Banyule,2082.5,2,u,630000.0,7.9,1.0,199.0,5549.0,7061
172,Banyule,2082.5,4,h,1460000.0,7.9,2.0,605.0,5549.0,7061
173,Banyule,2082.5,1,u,421000.0,7.9,1.0,0.0,5549.0,7061
174,Banyule,2082.5,4,h,2090000.0,7.9,2.0,608.0,5549.0,7391
175,Banyule,2082.5,4,h,1758000.0,7.9,2.0,650.0,5549.0,7391
176,Banyule,2082.5,3,t,700000.0,7.9,1.0,189.0,5549.0,7061
177,Banyule,2082.5,5,h,1420000.0,7.9,1.0,455.0,5549.0,7061
178,Banyule,2082.5,3,t,550000.0,7.9,1.0,139.0,5549.0,7061
179,Banyule,2082.5,4,h,2595000.0,7.9,3.0,719.0,5549.0,7061
180,Banyule,2082.5,2,t,710000.0,7.9,1.0,134.0,5549.0,7061
181,Banyule,2082.5,3,u,650000.0,7.9,2.0,0.0,5549.0,7061
182,Banyule,2082.5,1,u,385000.0,7.9,1.0,0.0,5549.0,7061
183,Banyule,2082.5,5,h,1101500.0,11.4,1.0,629.0,3540.0,7061
184,Banyule,2082.5,2,h,971000.0,11.4,1.0,608.0,3540.0,7061
185,Banyule,2082.5,4,h,1020000.0,11.4,2.0,843.0,3540.0,7061
186,Banyule,2082.5,3,u,560000.0,11.4,1.0,213.0,3540.0,7061
187,Banyule,2082.5,3,h,1050000.0,11.4,2.0,1016.0,3540.0,7061
188,Banyule,2082.5,3,h,1155000.0,11.4,1.0,608.0,3540.0,7061
189,Banyule,2082.5,2,t,531000.0,11.4,1.0,83.0,3540.0,7061
190,Banyule,2082.5,3,h,620000.0,11.4,0.0,454.0,3540.0,7061
191,Banyule,2082.5,3,h,780000.0,11.4,2.0,627.0,3540.0,7391
192,Banyule,2082.5,4,h,1051000.0,11.4,2.0,651.0,3540.0,7061
193,Banyule,2082.5,5,h,2530000.0,11.4,1.0,1850.0,3540.0,7061
194,Banyule,2082.5,3,h,720000.0,11.4,2.0,604.0,3540.0,7061
195,Banyule,2082.5,2,u,633000.0,11.4,1.0,210.0,3540.0,7061
196,Banyule,2082.5,2,h,725000.0,11.4,2.0,336.0,3540.0,7061
197,Banyule,2082.5,4,h,821000.0,11.4,2.0,403.0,3540.0,7061
198,Banyule,2082.5,4,h,915000.0,11.4,2.0,0.0,3540.0,7061
199,Banyule,2082.5,3,u,600000.0,11.4,2.0,169.0,3540.0,7061
200,Banyule,2082.5,4,h,890000.0,11.4,2.0,583.0,3540.0,7061
201,Banyule,2082.5,6,h,1245000.0,11.4,4.0,911.0,3540.0,7061
202,Banyule,2082.5,2,h,430000.0,11.4,1.0,164.0,3540.0,7061
203,Banyule,2082.5,3,h,860000.0,11.4,2.0,583.0,3540.0,7061
204,Banyule,2082.5,3,h,1012000.0,11.4,1.0,323.0,3540.0,7061
205,Banyule,2082.5,3,h,1020000.0,11.4,2.0,927.0,3540.0,7061
206,Banyule,2082.5,2,u,635000.0,11.4,1.0,203.0,3540.0,7391
207,Banyule,2082.5,2,t,515000.0,11.4,1.0,73.0,3540.0,7391
208,Banyule,2082.5,4,h,1610000.0,11.4,4.0,1613.0,3540.0,7061
209,Banyule,2082.5,2,h,1200000.0,11.4,1.0,757.0,3540.0,7061
210,Banyule,2082.5,4,h,1270000.0,11.4,4.0,604.0,3540.0,7061
211,Banyule,2082.5,3,h,515000.0,11.4,1.0,606.0,3540.0,7061
212,Banyule,2082.5,3,u,780000.0,11.4,2.0,239.0,3540.0,7391
213,Banyule,2082.5,3,h,1000000.0,11.4,1.0,826.0,3540.0,7391
214,Banyule,2082.5,3,h,867000.0,11.4,1.0,355.0,3540.0,7391
215,Banyule,2082.5,3,h,945000.0,11.4,1.0,625.0,3540.0,7061
216,Banyule,2082.5,2,u,618000.0,11.4,1.0,151.0,3540.0,7061
217,Banyule,2082.5,4,h,1720000.0,11.4,2.0,1215.0,3540.0,7061
218,Banyule,2082.5,3,u,601000.0,11.4,1.0,217.0,3540.0,7061
219,Banyule,2082.5,3,h,852000.0,11.4,1.0,776.0,3540.0,7061
220,Banyule,2082.5,2,u,452000.0,11.4,1.0,0.0,3540.0,7061
221,Banyule,2082.5,4,h,1021000.0,11.4,2.0,782.0,3540.0,7061
222,Banyule,2082.5,3,t,710000.0,11.4,1.0,174.0,3540.0,7061
223,Banyule,2082.5,3,t,990000.0,11.4,2.0,276.0,3540.0,7061
224,Banyule,2082.5,3,h,908000.0,11.4,2.0,692.0,3540.0,7061
225,Banyule,2082.5,4,h,910000.0,13.8,2.0,626.0,2698.0,7061
226,Banyule,2082.5,3,h,960000.0,13.8,2.0,656.0,2698.0,7061
227,Banyule,2082.5,2,u,556000.0,13.8,1.0,195.0,2698.0,7061
228,Banyule,2082.5,4,h,1010000.0,13.8,2.0,669.0,2698.0,7061
229,Banyule,2082.5,3,h,880000.0,13.8,4.0,704.0,2698.0,7061
230,Banyule,2082.5,4,h,920250.0,13.8,2.0,558.0,2698.0,7391
231,Banyule,2082.5,4,h,1080000.0,13.8,2.0,676.0,2698.0,7391
232,Banyule,2082.5,3,h,770000.0,13.8,2.0,577.0,2698.0,7061
233,Banyule,2082.5,4,h,730000.0,13.8,1.0,865.0,2698.0,7061
234,Banyule,2082.5,3,h,820000.0,13.8,2.0,555.0,2698.0,7061
235,Banyule,2082.5,4,h,1102500.0,13.8,1.0,659.0,2698.0,7061
236,Banyule,2082.5,4,h,1005000.0,13.8,1.0,696.0,2698.0,7061
237,Banyule,2082.5,2,u,555000.0,13.8,2.0,197.0,2698.0,7061
238,Banyule,2082.5,2,u,546000.0,13.8,1.0,177.0,2698.0,7061
239,Banyule,2082.5,3,h,765000.0,13.8,2.0,608.0,2698.0,7061
240,Banyule,2082.5,3,h,920000.0,13.8,2.0,834.0,2698.0,7061
241,Banyule,2082.5,5,h,895000.0,13.8,2.0,648.0,2698.0,7061
242,Banyule,2082.5,3,h,775000.0,13.8,2.0,586.0,2698.0,7061
243,Banyule,2082.5,3,u,440000.0,13.8,1.0,416.0,2698.0,7061
244,Banyule,2082.5,4,h,1042500.0,13.8,2.0,648.0,2698.0,7061
245,Banyule,2082.5,5,h,1025000.0,13.8,2.0,531.0,2698.0,7061
246,Banyule,2082.5,4,h,940000.0,13.8,2.0,574.0,2698.0,7061
247,Banyule,2082.5,4,h,895000.0,13.8,2.0,700.0,2698.0,7061
248,Banyule,2082.5,3,h,820000.0,13.8,2.0,628.0,2698.0,7061
249,Banyule,2082.5,3,h,870000.0,13.8,2.0,698.0,2698.0,7061
250,Banyule,2082.5,4,h,1085000.0,13.8,2.0,599.0,2698.0,7061
251,Banyule,2082.5,3,h,915000.0,13.8,2.0,769.0,2698.0,7391
252,Banyule,2082.5,4,h,1050000.0,13.8,2.0,660.0,2698.0,7061
253,Banyule,2082.5,3,h,660000.0,14.9,0.0,583.0,2329.0,7061
254,Banyule,2082.5,3,h,581000.0,14.9,2.0,567.0,2329.0,7061
255,Banyule,2082.5,3,h,1000000.0,14.9,2.0,739.0,2329.0,7391
256,Banyule,2082.5,3,h,785000.0,14.9,2.0,0.0,2329.0,7391
257,Banyule,2082.5,3,h,600000.0,14.9,1.0,605.0,2329.0,7061
258,Banyule,2082.5,3,h,690000.0,14.9,1.0,308.0,2329.0,7061
259,Banyule,2082.5,3,h,582000.0,14.9,0.0,302.0,2329.0,7061
260,Banyule,2082.5,3,h,740000.0,14.9,1.0,591.0,2329.0,7061
261,Banyule,2082.5,3,h,671000.0,14.9,2.0,280.0,2329.0,7061
262,Banyule,2082.5,3,h,741000.0,14.9,1.0,671.0,2329.0,7061
263,Banyule,2082.5,4,h,706000.0,14.9,2.0,581.0,2329.0,7061
264,Banyule,2082.5,3,h,725000.0,14.9,1.0,545.0,2329.0,7061
265,Banyule,2082.5,3,h,808000.0,14.9,2.0,265.0,2329.0,7061
266,Banyule,2082.5,3,h,711000.0,14.9,2.0,658.0,2329.0,7061
267,Banyule,2082.5,3,u,537000.0,14.9,2.0,327.0,2329.0,7061
268,Banyule,2082.5,3,h,1040000.0,14.9,1.0,903.0,2329.0,7061
269,Banyule,2082.5,4,h,1171000.0,14.9,2.0,670.0,2329.0,7061
270,Banyule,2082.5,2,h,662000.0,14.9,2.0,605.0,2329.0,7061
271,Banyule,2082.5,3,h,800000.0,14.9,2.0,595.0,2329.0,7061
272,Banyule,2082.5,3,h,922000.0,14.9,2.0,798.0,2329.0,7061
273,Banyule,2082.5,2,t,485000.0,14.9,1.0,184.0,2329.0,7061
274,Banyule,2082.5,3,h,860500.0,14.9,0.0,767.0,2329.0,7061
275,Banyule,2082.5,3,h,702000.0,14.9,1.0,604.0,2329.0,7061
276,Banyule,2082.5,3,h,627500.0,14.9,1.0,319.0,2329.0,7061
277,Banyule,2082.5,3,h,632000.0,14.9,2.0,650.0,2329.0,7391
278,Banyule,2082.5,3,h,601000.0,14.9,1.0,653.0,2329.0,7061
279,Banyule,2082.5,3,u,549000.0,14.9,1.0,0.0,2329.0,7061
280,Banyule,2082.5,2,u,342500.0,14.9,1.0,0.0,2329.0,7061
281,Banyule,2082.5,2,h,701000.0,14.9,2.0,762.0,2329.0,7061
282,Banyule,2082.5,3,h,645000.0,14.9,1.0,355.0,2329.0,7061
283,Banyule,2082.5,3,h,838000.0,14.9,2.0,828.0,2329.0,7061
284,Banyule,2082.5,4,h,700000.0,15.0,1.0,530.0,1369.0,7061
285,Banyule,2082.5,4,h,915000.0,15.0,1.0,531.0,1369.0,7391
286,Banyule,2082.5,3,h,810000.0,15.0,2.0,568.0,1369.0,7061
287,Banyule,2082.5,3,h,753000.0,15.0,1.0,536.0,1369.0,7391
288,Banyule,2082.5,3,h,602500.0,15.0,2.0,586.0,1369.0,7061
289,Banyule,2082.5,3,h,742000.0,15.0,1.0,614.0,1369.0,7061
290,Banyule,2082.5,4,h,953000.0,15.0,2.0,551.0,1369.0,7061
291,Banyule,2082.5,4,h,840000.0,15.0,2.0,761.0,1369.0,7061
292,Banyule,2082.5,3,h,650000.0,15.0,1.0,706.0,1369.0,7061
293,Banyule,2082.5,4,h,793000.0,15.0,1.0,592.0,1369.0,7391
294,Banyule,2082.5,3,h,731000.0,15.0,2.0,566.0,1369.0,7061
295,Banyule,2082.5,3,h,710000.0,15.0,1.0,616.0,1369.0,7061
296,Banyule,2082.5,3,h,720000.0,15.0,4.0,535.0,1369.0,7061
297,Banyule,2082.5,3,h,720000.0,15.0,2.0,555.0,1369.0,7391
298,Banyule,2082.5,3,h,936000.0,15.0,2.0,587.0,1369.0,7061
299,Banyule,2082.5,3,h,800000.0,15.0,2.0,660.0,1369.0,7061
300,Banyule,2082.5,3,h,721000.0,15.0,1.0,687.0,1369.0,7061
301,Banyule,2082.5,3,h,773000.0,9.5,2.0,626.0,790.0,7061
302,Banyule,2082.5,3,h,885000.0,9.5,1.0,666.0,790.0,7061
303,Banyule,2082.5,3,h,770000.0,9.5,4.0,762.0,790.0,7061
304,Banyule,2082.5,2,h,855000.0,9.5,0.0,693.0,790.0,7391
305,Banyule,2082.5,3,h,645000.0,9.5,2.0,631.0,790.0,7061
306,Banyule,2082.5,3,h,720000.0,9.5,1.0,231.0,790.0,7391
307,Banyule,2082.5,3,h,625000.0,9.5,2.0,609.0,790.0,7061
308,Banyule,2082.5,3,u,828000.0,9.5,0.0,641.0,790.0,7061
309,Banyule,2082.5,3,u,676000.0,9.5,0.0,605.0,790.0,7061
310,Banyule,2082.5,2,u,546500.0,10.6,1.0,132.0,2890.0,7061
311,Banyule,2082.5,3,u,620000.0,10.6,1.0,215.0,2890.0,7391
312,Banyule,2082.5,3,h,1220000.0,10.6,1.0,858.0,2890.0,7061
313,Banyule,2082.5,3,t,550000.0,10.6,2.0,235.0,2890.0,7061
314,Banyule,2082.5,2,u,585000.0,10.6,1.0,0.0,2890.0,7061
315,Banyule,2082.5,2,t,705000.0,10.6,1.0,182.0,2890.0,7061
316,Banyule,2082.5,2,u,420000.0,10.6,1.0,158.0,2890.0,7061
317,Banyule,2082.5,3,h,1705000.0,10.6,2.0,1547.0,2890.0,7061
318,Banyule,2082.5,2,h,490000.0,10.6,1.0,187.0,2890.0,7061
319,Banyule,2082.5,2,u,579000.0,10.6,2.0,4497.0,2890.0,7391
320,Banyule,2082.5,3,h,1110000.0,10.6,2.0,600.0,2890.0,7061
321,Banyule,2082.5,2,u,540000.0,10.6,2.0,153.0,2890.0,7061
322,Banyule,2082.5,3,h,750000.0,10.6,2.0,577.0,2890.0,7061
323,Banyule,2082.5,4,h,1115000.0,10.6,2.0,642.0,2890.0,7061
324,Banyule,2082.5,3,h,1000000.0,10.6,1.0,422.0,2890.0,7061
325,Banyule,2082.5,2,t,595000.0,10.6,1.0,88.0,2890.0,7061
326,Banyule,2082.5,3,u,690000.0,10.6,2.0,4497.0,2890.0,7391
327,Banyule,2082.5,5,h,1401000.0,10.6,2.0,580.0,2890.0,7061
328,Banyule,2082.5,3,t,808000.0,10.6,2.0,255.0,2890.0,7061
329,Banyule,2082.5,4,h,1031000.0,10.6,1.0,570.0,2890.0,7061
330,Banyule,2082.5,2,t,600000.0,10.6,2.0,145.0,2890.0,7061
331,Banyule,2082.5,3,h,655000.0,10.6,2.0,175.0,2890.0,7061
332,Banyule,2082.5,3,h,1195000.0,10.6,1.0,662.0,2890.0,7061
333,Banyule,2082.5,3,h,850000.0,10.6,2.0,285.0,2890.0,7061
334,Banyule,2082.5,4,u,830000.0,10.6,2.0,1180.0,2890.0,7061
335,Banyule,2082.5,3,h,1076000.0,10.6,2.0,674.0,2890.0,7061
