,Rooms,Type,Distance,Bedroom2,Car,Landsize,Propertycount
241,1,u,11.1,1.0,1.0,0.0,5132.0
242,3,h,11.1,3.0,3.0,602.0,5132.0
243,3,h,11.1,3.0,2.0,740.0,5132.0
244,4,h,11.1,4.0,4.0,315.0,5132.0
245,3,h,11.1,5.0,2.0,276.0,5132.0
246,3,h,11.1,3.0,1.0,531.0,5132.0
247,3,h,11.1,3.0,1.0,590.0,5132.0
248,3,h,11.1,3.0,4.0,715.0,5132.0
249,3,h,11.1,3.0,2.0,561.0,5132.0
250,2,h,11.1,2.0,2.0,691.0,5132.0
251,3,h,11.1,3.0,3.0,555.0,5132.0
252,4,h,11.1,4.0,2.0,708.0,5132.0
253,4,h,11.1,4.0,3.0,668.0,5132.0
254,4,t,11.1,4.0,1.0,252.0,5132.0
255,4,h,11.1,4.0,4.0,633.0,5132.0
256,3,h,11.1,3.0,1.0,557.0,5132.0
257,3,h,11.1,3.0,1.0,536.0,5132.0
258,2,u,11.1,2.0,1.0,153.0,5132.0
259,3,h,6.3,2.0,1.0,305.0,4836.0
260,2,u,6.3,2.0,1.0,0.0,4836.0
261,2,u,6.3,2.0,0.0,861.0,4836.0
262,3,u,6.3,3.0,2.0,0.0,4836.0
263,3,t,6.3,3.0,2.0,101.0,4836.0
264,3,h,6.3,3.0,2.0,588.0,4836.0
265,3,h,6.3,3.0,2.0,296.0,4836.0
266,1,u,6.3,1.0,0.0,0.0,4836.0
267,3,h,6.3,3.0,1.0,217.0,4836.0
268,4,h,6.3,4.0,1.0,211.0,4836.0
269,2,u,6.3,2.0,2.0,0.0,4836.0
270,2,h,6.3,2.0,1.0,183.0,4836.0
271,3,t,6.3,3.0,2.0,0.0,4836.0
272,1,u,6.3,1.0,0.0,881.0,4836.0
273,2,u,6.3,2.0,1.0,0.0,4836.0
274,3,h,6.3,3.0,1.0,205.0,4836.0
275,2,u,6.3,2.0,1.0,0.0,4836.0
276,2,u,6.3,2.0,2.0,0.0,4836.0
277,2,u,6.3,3.0,2.0,0.0,4836.0
278,4,h,6.3,4.0,2.0,1581.0,4836.0
279,5,h,6.3,8.0,2.0,693.0,4836.0
280,4,h,6.3,4.0,2.0,500.0,4836.0
281,3,u,6.3,3.0,1.0,2113.0,4836.0
282,2,u,6.3,2.0,1.0,0.0,4836.0
283,3,t,6.3,2.0,2.0,246.0,4836.0
284,4,h,6.3,4.0,2.0,369.0,4836.0
285,3,t,6.3,2.0,1.0,175.0,4836.0
286,2,u,6.3,2.0,1.0,0.0,4836.0
287,2,u,6.3,3.0,1.0,0.0,4836.0
288,1,h,6.3,2.0,1.0,144.0,4836.0
289,4,h,6.3,3.0,2.0,662.0,4836.0
290,1,u,6.3,1.0,1.0,0.0,4836.0
291,1,u,6.3,1.0,1.0,0.0,4836.0
292,4,h,6.3,4.0,2.0,551.0,4836.0
293,2,h,6.3,2.0,2.0,0.0,4836.0
294,3,h,6.3,3.0,0.0,246.0,4836.0
295,2,u,6.3,2.0,1.0,0.0,4836.0
296,3,h,6.3,3.0,1.0,242.0,4836.0
297,2,h,6.3,2.0,0.0,249.0,4836.0
298,4,h,6.3,4.0,2.0,624.0,4836.0
299,3,u,6.3,3.0,3.0,0.0,4836.0
300,3,h,6.3,2.0,2.0,292.0,4836.0
301,3,h,6.3,3.0,1.0,482.0,4836.0
302,1,u,6.3,1.0,0.0,881.0,4836.0
303,3,h,6.3,3.0,1.0,228.0,4836.0
304,3,h,6.3,3.0,2.0,405.0,4836.0
305,4,h,6.3,4.0,2.0,495.0,4836.0
306,1,u,6.3,1.0,1.0,0.0,4836.0
307,3,h,6.3,3.0,2.0,451.0,4836.0
308,2,u,6.3,2.0,1.0,0.0,4836.0
309,3,u,6.3,3.0,4.0,0.0,4836.0
310,2,h,6.3,3.0,2.0,230.0,4836.0
311,6,h,6.3,5.0,4.0,1491.0,4836.0
312,4,h,6.3,2.0,2.0,449.0,4836.0
313,2,h,6.3,3.0,2.0,169.0,4836.0
314,3,h,6.3,3.0,1.0,301.0,4836.0
315,3,h,6.3,3.0,0.0,336.0,4836.0
316,2,h,6.3,2.0,0.0,207.0,4836.0
317,1,u,6.3,1.0,1.0,0.0,4836.0
318,2,u,6.3,2.0,1.0,734.0,4836.0
319,2,u,6.3,2.0,1.0,0.0,4836.0
320,3,t,6.3,3.0,2.0,0.0,4836.0
321,3,h,6.3,3.0,1.0,316.0,4836.0
322,3,h,6.3,2.0,2.0,212.0,4836.0
323,2,u,6.3,2.0,1.0,0.0,4836.0
324,3,u,6.3,3.0,2.0,0.0,4836.0
325,2,u,6.3,2.0,1.0,0.0,4836.0
326,2,u,6.3,3.0,1.0,0.0,4836.0
327,3,h,6.3,3.0,2.0,328.0,4836.0
328,3,h,6.3,3.0,2.0,0.0,4836.0
329,3,t,6.3,2.0,2.0,0.0,4836.0
330,2,u,6.3,2.0,1.0,2659.0,4836.0
331,1,u,6.3,1.0,1.0,0.0,4836.0
332,3,h,6.3,2.0,0.0,151.0,4836.0
333,1,u,6.3,1.0,1.0,0.0,4836.0
334,2,u,6.3,2.0,1.0,2471.0,4836.0
335,2,u,6.3,2.0,1.0,1194.0,4836.0
336,2,u,6.3,2.0,1.0,0.0,4836.0
337,3,h,6.3,3.0,2.0,459.0,4836.0
338,3,h,6.3,3.0,2.0,186.0,4836.0
339,4,h,6.3,4.0,2.0,421.0,4836.0
340,3,h,6.3,3.0,2.0,251.0,4836.0
341,2,u,6.3,2.0,1.0,0.0,4836.0
342,2,u,6.3,1.0,1.0,0.0,4836.0
343,4,h,6.3,4.0,2.0,709.0,4836.0
344,4,h,6.3,4.0,3.0,563.0,4836.0
345,3,t,6.3,3.0,2.0,103.0,4836.0
346,3,h,6.3,3.0,2.0,617.0,4836.0
347,2,u,6.3,2.0,1.0,0.0,4836.0
348,2,u,6.3,2.0,2.0,0.0,4836.0
349,4,h,6.3,4.0,4.0,544.0,4836.0
350,3,h,6.3,3.0,1.0,0.0,4836.0
351,3,u,6.3,2.0,1.0,0.0,4836.0
352,3,h,6.3,3.0,1.0,196.0,4836.0
353,2,u,6.3,2.0,4.0,0.0,4836.0
354,5,h,6.3,5.0,2.0,617.0,4836.0
355,2,u,6.3,3.0,1.0,0.0,4836.0
356,1,u,6.3,1.0,1.0,0.0,4836.0
357,2,u,6.3,2.0,0.0,0.0,4836.0
358,2,h,6.3,3.0,1.0,266.0,4836.0
359,2,u,6.3,2.0,1.0,0.0,4836.0
360,3,h,5.9,3.0,2.0,305.0,6567.0
361,2,u,5.9,3.0,2.0,0.0,6567.0
362,3,h,5.9,3.0,2.0,298.0,6567.0
363,2,u,5.9,2.0,1.0,0.0,6567.0
364,3,h,5.9,3.0,2.0,271.0,6567.0
365,3,h,5.9,3.0,2.0,277.0,6567.0
366,2,u,5.9,2.0,1.0,423.0,6567.0
367,4,h,5.9,4.0,1.0,478.0,6567.0
368,3,h,5.9,3.0,2.0,623.0,6567.0
369,3,h,5.9,3.0,2.0,285.0,6567.0
370,2,h,5.9,2.0,1.0,214.0,6567.0
371,6,h,5.9,6.0,2.0,1014.0,6567.0
372,2,h,5.9,2.0,1.0,226.0,6567.0
373,2,h,5.9,2.0,1.0,269.0,6567.0
374,3,h,5.9,3.0,1.0,417.0,6567.0
375,3,h,5.9,3.0,2.0,350.0,6567.0
376,2,h,5.9,2.0,1.0,330.0,6567.0
377,2,h,5.9,2.0,1.0,118.0,6567.0
378,2,h,5.9,2.0,1.0,173.0,6567.0
379,3,h,5.9,3.0,2.0,252.0,6567.0
380,2,u,5.9,2.0,2.0,228.0,6567.0
381,4,h,5.9,3.0,2.0,398.0,6567.0
382,3,h,5.9,4.0,2.0,594.0,6567.0
383,2,h,5.9,2.0,1.0,0.0,6567.0
384,3,h,5.9,3.0,0.0,317.0,6567.0
385,2,h,5.9,2.0,1.0,226.0,6567.0
386,3,h,5.9,3.0,2.0,229.0,6567.0
387,4,h,5.9,4.0,1.0,300.0,6567.0
388,2,h,5.9,2.0,1.0,170.0,6567.0
389,4,h,5.9,4.0,2.0,462.0,6567.0
390,3,h,5.9,3.0,1.0,487.0,6567.0
391,2,h,5.9,2.0,0.0,255.0,6567.0
392,2,u,5.9,2.0,1.0,0.0,6567.0
393,3,h,5.9,3.0,2.0,431.0,6567.0
394,4,h,5.9,4.0,3.0,950.0,6567.0
395,3,h,5.9,3.0,2.0,440.0,6567.0
396,3,h,5.9,3.0,2.0,532.0,6567.0
397,1,u,5.9,1.0,1.0,0.0,6567.0
398,3,h,5.9,3.0,2.0,495.0,6567.0
399,4,h,5.9,3.0,2.0,683.0,6567.0
400,3,h,5.9,3.0,1.0,263.0,6567.0
401,4,h,5.9,4.0,5.0,559.0,6567.0
402,3,h,5.9,3.0,2.0,308.0,6567.0
403,2,u,5.9,2.0,1.0,0.0,6567.0
404,4,h,5.9,4.0,2.0,562.0,6567.0
405,6,h,5.9,4.0,1.0,461.0,6567.0
406,2,u,5.9,2.0,1.0,301.0,6567.0
407,3,h,5.9,3.0,1.0,491.0,6567.0
408,3,h,5.9,3.0,1.0,242.0,6567.0
409,3,h,5.9,3.0,2.0,617.0,6567.0
410,4,h,5.9,4.0,2.0,597.0,6567.0
411,2,h,5.9,2.0,1.0,387.0,6567.0
412,3,h,5.9,3.0,3.0,575.0,6567.0
413,5,h,5.9,5.0,2.0,521.0,6567.0
414,2,t,5.9,2.0,1.0,146.0,6567.0
415,2,t,5.9,2.0,1.0,113.0,6567.0
416,2,u,5.9,2.0,1.0,0.0,6567.0
417,2,u,5.9,2.0,1.0,0.0,6567.0
418,3,h,5.9,3.0,2.0,506.0,6567.0
419,3,t,5.9,3.0,2.0,318.0,6567.0
420,6,h,5.9,6.0,3.0,833.0,6567.0
421,2,u,5.9,2.0,1.0,0.0,6567.0
422,2,h,5.9,2.0,1.0,325.0,6567.0
423,4,h,5.9,4.0,0.0,418.0,6567.0
424,2,u,5.9,2.0,1.0,0.0,6567.0
425,2,u,5.9,2.0,1.0,0.0,6567.0
426,4,h,5.9,4.0,4.0,487.0,6567.0
427,3,h,5.9,3.0,2.0,414.0,6567.0
428,3,h,5.9,3.0,2.0,298.0,6567.0
429,3,h,5.9,3.0,1.0,272.0,6567.0
430,3,h,5.9,3.0,1.0,296.0,6567.0
431,4,h,5.9,4.0,1.0,298.0,6567.0
432,3,u,5.9,3.0,1.0,0.0,6567.0
433,3,h,5.9,3.0,1.0,206.0,6567.0
434,2,u,5.9,2.0,1.0,1957.0,6567.0
435,4,h,5.9,4.0,1.0,552.0,6567.0
436,3,h,5.9,3.0,2.0,416.0,6567.0
437,3,h,5.9,3.0,2.0,285.0,6567.0
438,3,h,5.9,3.0,1.0,314.0,6567.0
439,3,h,5.9,3.0,3.0,536.0,6567.0
440,3,h,5.9,3.0,1.0,576.0,6567.0
441,2,h,5.9,2.0,3.0,252.0,6567.0
442,2,h,5.9,2.0,1.0,124.0,6567.0
443,3,u,5.9,3.0,3.0,0.0,6567.0
444,3,t,5.9,3.0,2.0,200.0,6567.0
445,4,h,5.9,4.0,1.0,349.0,6567.0
446,4,h,5.9,4.0,4.0,664.0,6567.0
447,3,h,5.9,3.0,1.0,555.0,6567.0
448,3,h,5.9,3.0,2.0,459.0,6567.0
449,3,h,5.9,2.0,1.0,278.0,6567.0
450,3,h,5.9,3.0,1.0,254.0,6567.0
451,3,h,5.9,3.0,0.0,216.0,6567.0
452,3,h,5.9,3.0,1.0,452.0,6567.0
453,2,u,5.9,2.0,2.0,194.0,6567.0
454,4,h,5.9,4.0,4.0,598.0,6567.0
455,3,h,5.9,2.0,1.0,194.0,6567.0
456,2,h,5.9,2.0,1.0,407.0,6567.0
457,4,h,11.0,4.0,2.0,753.0,3052.0
458,3,h,11.0,3.0,2.0,599.0,3052.0
459,3,t,11.0,3.0,2.0,203.0,3052.0
460,3,t,11.0,3.0,4.0,310.0,3052.0
461,3,h,11.0,3.0,1.0,370.0,3052.0
462,2,u,11.0,2.0,1.0,710.0,3052.0
463,2,h,11.0,2.0,2.0,679.0,3052.0
464,3,h,11.0,3.0,2.0,731.0,3052.0
465,3,h,11.0,3.0,2.0,276.0,3052.0
466,3,h,11.0,3.0,2.0,583.0,3052.0
467,8,h,11.0,9.0,4.0,1472.0,3052.0
468,4,h,11.0,4.0,1.0,681.0,3052.0
469,3,h,11.0,3.0,2.0,516.0,3052.0
470,3,h,11.0,3.0,2.0,806.0,3052.0
471,3,h,11.0,3.0,2.0,699.0,3052.0
472,3,h,11.0,3.0,2.0,697.0,3052.0
473,3,h,11.0,3.0,3.0,780.0,3052.0
474,4,h,11.0,4.0,2.0,513.0,3052.0
475,4,h,11.0,4.0,2.0,780.0,3052.0
476,3,h,11.0,3.0,2.0,351.0,3052.0
477,2,h,11.0,3.0,2.0,690.0,3052.0
478,3,h,11.0,3.0,3.0,702.0,3052.0
479,3,h,11.0,3.0,1.0,404.0,3052.0
480,3,h,11.0,3.0,2.0,650.0,3052.0
481,2,h,11.0,2.0,2.0,704.0,3052.0
482,3,h,11.0,3.0,2.0,696.0,3052.0
483,2,h,11.0,2.0,2.0,697.0,3052.0
484,5,h,11.0,5.0,2.0,755.0,3052.0
485,3,h,11.0,3.0,2.0,591.0,3052.0
486,3,t,11.0,3.0,1.0,227.0,3052.0
487,3,t,11.0,3.0,2.0,153.0,3052.0
488,3,h,11.0,3.0,2.0,545.0,3052.0
489,5,h,11.0,6.0,2.0,1075.0,3052.0
490,4,h,11.0,4.0,1.0,310.0,3052.0
491,3,h,11.0,3.0,2.0,710.0,3052.0
492,2,h,11.0,2.0,2.0,672.0,3052.0
493,4,h,11.0,4.0,4.0,749.0,3052.0
494,4,h,11.0,4.0,2.0,703.0,3052.0
495,3,h,11.0,3.0,3.0,724.0,3052.0
496,3,h,11.0,3.0,1.0,605.0,3052.0
497,2,h,11.0,2.0,1.0,687.0,3052.0
498,4,t,11.0,4.0,2.0,321.0,3052.0
499,3,h,11.0,3.0,2.0,583.0,3052.0
500,5,h,11.0,5.0,4.0,700.0,3052.0
501,4,h,11.0,4.0,3.0,696.0,3052.0
502,3,t,11.0,3.0,2.0,295.0,3052.0
503,3,h,11.0,3.0,2.0,752.0,3052.0
504,4,h,11.0,4.0,2.0,514.0,3052.0
505,4,h,11.0,4.0,2.0,844.0,3052.0
506,3,h,11.0,3.0,2.0,637.0,3052.0
507,3,h,11.0,3.0,2.0,1063.0,3052.0
508,3,h,11.0,3.0,1.0,697.0,3052.0
509,3,h,12.2,3.0,2.0,343.0,2894.0
510,2,h,12.2,2.0,1.0,583.0,2894.0
511,3,t,12.2,3.0,2.0,375.0,2894.0
512,3,h,12.2,3.0,1.0,842.0,2894.0
513,3,u,12.2,3.0,2.0,467.0,2894.0
514,4,h,12.2,4.0,2.0,372.0,2894.0
