,Rooms,Type,Price,Year,Distance,Bedroom2,Car,Landsize,CouncilArea,Propertycount
32,2,t,450000.0,2016,13.5,2.0,1.0,110.0,Moonee Valley,3464.0
33,2,u,515000.0,2016,13.5,2.0,1.0,141.0,Moonee Valley,3464.0
34,2,u,530000.0,2016,13.5,2.0,1.0,120.0,Moonee Valley,3464.0
35,3,h,895000.0,2016,13.5,3.0,6.0,1063.0,Moonee Valley,3464.0
36,3,h,805000.0,2016,13.5,3.0,1.0,0.0,Moonee Valley,3464.0
37,3,u,752000.0,2017,13.5,3.0,1.0,265.0,Moonee Valley,3464.0
38,3,t,700000.0,2016,13.5,3.0,2.0,165.0,Moonee Valley,3464.0
39,3,h,830000.0,2016,13.5,3.0,2.0,971.0,Moonee Valley,3464.0
40,2,h,675000.0,2016,13.5,2.0,1.0,612.0,Moonee Valley,3464.0
41,3,h,1042000.0,2016,13.5,3.0,5.0,612.0,Moonee Valley,3464.0
42,4,h,773000.0,2016,13.5,5.0,4.0,531.0,Moonee Valley,3464.0
43,3,h,810000.0,2017,13.5,3.0,2.0,555.0,Moonee Valley,3464.0
44,3,h,715000.0,2017,13.5,3.0,2.0,422.0,Moonee Valley,3464.0
45,3,t,540000.0,2016,13.5,2.0,1.0,161.0,Moonee Valley,3464.0
46,3,t,825000.0,2016,13.5,3.0,1.0,293.0,Moonee Valley,3464.0
47,3,h,685000.0,2016,13.5,3.0,1.0,579.0,Moonee Valley,3464.0
48,4,h,900000.0,2016,13.5,4.0,3.0,628.0,Moonee Valley,3464.0
49,2,h,1275000.0,2016,3.3,2.0,0.0,120.0,Port Phillip,3280.0
50,3,h,2850000.0,2017,3.3,3.0,0.0,211.0,Port Phillip,3280.0
51,3,h,1850000.0,2017,3.3,3.0,0.0,128.0,Port Phillip,3280.0
52,2,h,1436000.0,2017,3.3,2.0,0.0,130.0,Port Phillip,3280.0
53,4,h,2300000.0,2016,3.3,4.0,1.0,153.0,Port Phillip,3280.0
54,3,h,1800000.0,2016,3.3,3.0,1.0,132.0,Port Phillip,3280.0
55,2,h,2120000.0,2016,3.3,2.0,1.0,199.0,Port Phillip,3280.0
56,3,h,1800000.0,2016,3.3,3.0,1.0,90.0,Port Phillip,3280.0
57,3,h,2615000.0,2016,3.3,3.0,1.0,177.0,Port Phillip,3280.0
58,3,h,1370000.0,2016,3.3,3.0,2.0,0.0,Port Phillip,3280.0
59,2,h,1322500.0,2016,3.3,2.0,0.0,149.0,Port Phillip,3280.0
60,2,h,1562500.0,2016,3.3,2.0,0.0,141.0,Port Phillip,3280.0
61,3,h,2000000.0,2016,3.3,3.0,1.0,211.0,Port Phillip,3280.0
62,3,h,3010000.0,2017,3.3,3.0,0.0,147.0,Port Phillip,3280.0
63,4,h,2800000.0,2016,3.3,4.0,1.0,327.0,Port Phillip,3280.0
64,3,h,2100000.0,2016,3.3,2.0,1.0,120.0,Port Phillip,3280.0
65,3,h,2000000.0,2016,3.3,3.0,1.0,238.0,Port Phillip,3280.0
66,1,u,442500.0,2017,3.3,1.0,0.0,0.0,Port Phillip,3280.0
67,4,h,4735000.0,2017,3.3,4.0,1.0,330.0,Port Phillip,3280.0
68,4,h,2140000.0,2016,3.3,3.0,1.0,183.0,Port Phillip,3280.0
69,2,h,980000.0,2016,3.3,2.0,0.0,79.0,Port Phillip,3280.0
70,3,h,1740000.0,2016,3.3,3.0,2.0,147.0,Port Phillip,3280.0
71,1,h,985000.0,2016,3.3,1.0,0.0,81.0,Port Phillip,3280.0
72,4,h,2000000.0,2016,6.4,3.0,4.0,853.0,Darebin,2211.0
73,4,h,1717500.0,2016,6.4,4.0,1.0,599.0,Darebin,2211.0
74,5,h,2840000.0,2016,6.4,5.0,4.0,809.0,Darebin,2211.0
75,2,u,525500.0,2016,6.4,2.0,1.0,88.0,Darebin,2211.0
76,2,t,805000.0,2016,6.4,2.0,3.0,155.0,Darebin,2211.0
77,4,h,1830000.0,2016,6.4,4.0,2.0,606.0,Darebin,2211.0
78,4,h,2100000.0,2016,6.4,4.0,2.0,575.0,Darebin,2211.0
79,3,h,865000.0,2016,6.4,3.0,1.0,180.0,Darebin,2211.0
80,2,u,390000.0,2016,6.4,2.0,1.0,0.0,Darebin,2211.0
81,2,u,512000.0,2017,6.4,2.0,1.0,0.0,Darebin,2211.0
82,4,h,1900000.0,2016,6.4,4.0,2.0,556.0,Darebin,2211.0
83,4,h,1950000.0,2016,6.4,4.0,3.0,589.0,Darebin,2211.0
84,3,h,520000.0,2016,13.8,3.0,1.0,352.0,Hobsons Bay,5301.0
85,5,h,1525000.0,2016,13.8,5.0,3.0,729.0,Hobsons Bay,5301.0
86,2,t,720000.0,2016,13.8,2.0,2.0,292.0,Hobsons Bay,5301.0
87,3,h,1120000.0,2017,13.8,3.0,2.0,506.0,Hobsons Bay,5301.0
88,4,h,1780000.0,2016,13.8,4.0,6.0,1057.0,Hobsons Bay,5301.0
89,3,u,630000.0,2016,13.8,2.0,2.0,311.0,Hobsons Bay,5301.0
90,3,h,660000.0,2016,13.8,3.0,1.0,602.0,Hobsons Bay,5301.0
91,2,u,580000.0,2016,13.8,2.0,1.0,225.0,Hobsons Bay,5301.0
92,3,h,1335000.0,2016,13.8,3.0,4.0,777.0,Hobsons Bay,5301.0
93,2,u,510000.0,2016,13.8,2.0,1.0,127.0,Hobsons Bay,5301.0
94,2,u,425000.0,2016,13.8,2.0,2.0,115.0,Hobsons Bay,5301.0
95,2,u,391000.0,2017,13.8,2.0,1.0,0.0,Hobsons Bay,5301.0
96,4,h,845000.0,2017,13.8,4.0,2.0,745.0,Hobsons Bay,5301.0
97,3,u,730000.0,2016,13.8,3.0,1.0,69.0,Hobsons Bay,5301.0
98,2,u,447000.0,2016,13.8,2.0,1.0,137.0,Hobsons Bay,5301.0
99,3,h,678000.0,2016,13.8,3.0,2.0,606.0,Hobsons Bay,5301.0
100,2,u,580000.0,2016,13.8,2.0,1.0,175.0,Hobsons Bay,5301.0
101,3,h,840000.0,2017,13.8,3.0,2.0,534.0,Hobsons Bay,5301.0
102,3,u,577000.0,2016,13.8,3.0,1.0,205.0,Hobsons Bay,5301.0
103,2,h,857000.0,2016,13.8,2.0,1.0,675.0,Hobsons Bay,5301.0
104,3,u,730000.0,2016,13.8,3.0,1.0,70.0,Hobsons Bay,5301.0
105,2,h,535600.0,2016,13.8,2.0,1.0,154.0,Hobsons Bay,5301.0
106,5,h,1085000.0,2016,11.1,5.0,6.0,592.0,Hobsons Bay,5132.0
107,3,h,781000.0,2016,11.1,3.0,2.0,533.0,Hobsons Bay,5132.0
108,2,t,421000.0,2017,11.1,2.0,1.0,77.0,Hobsons Bay,5132.0
109,3,h,683000.0,2016,11.1,3.0,2.0,534.0,Hobsons Bay,5132.0
110,3,h,720000.0,2016,11.1,3.0,1.0,0.0,Hobsons Bay,5132.0
111,3,h,588000.0,2016,11.1,3.0,1.0,328.0,Hobsons Bay,5132.0
112,3,h,710000.0,2016,11.1,3.0,3.0,540.0,Hobsons Bay,5132.0
113,4,h,875000.0,2016,11.1,3.0,4.0,559.0,Hobsons Bay,5132.0
114,3,h,675000.0,2016,11.1,3.0,2.0,171.0,Hobsons Bay,5132.0
115,3,h,708000.0,2016,11.1,3.0,2.0,585.0,Hobsons Bay,5132.0
116,4,h,693000.0,2016,11.1,4.0,4.0,315.0,Hobsons Bay,5132.0
117,3,h,620000.0,2016,11.1,5.0,2.0,276.0,Hobsons Bay,5132.0
118,3,h,728500.0,2016,11.1,3.0,1.0,531.0,Hobsons Bay,5132.0
119,3,h,931000.0,2016,11.1,3.0,1.0,590.0,Hobsons Bay,5132.0
120,3,h,815000.0,2017,11.1,3.0,3.0,555.0,Hobsons Bay,5132.0
121,4,h,1200000.0,2016,11.1,4.0,4.0,633.0,Hobsons Bay,5132.0
122,2,u,292000.0,2016,11.1,2.0,1.0,153.0,Hobsons Bay,5132.0
123,2,u,599000.0,2016,6.3,2.0,1.0,0.0,Stonnington,4836.0
124,3,u,995000.0,2016,6.3,3.0,2.0,0.0,Stonnington,4836.0
125,3,t,1205000.0,2016,6.3,3.0,2.0,101.0,Stonnington,4836.0
126,3,h,1939000.0,2016,6.3,3.0,2.0,296.0,Stonnington,4836.0
127,3,h,1870000.0,2017,6.3,3.0,1.0,217.0,Stonnington,4836.0
128,3,t,1918000.0,2017,6.3,3.0,2.0,0.0,Stonnington,4836.0
129,3,h,2050000.0,2017,6.3,3.0,1.0,205.0,Stonnington,4836.0
130,3,u,735000.0,2016,6.3,3.0,1.0,2113.0,Stonnington,4836.0
131,1,h,1435000.0,2016,6.3,2.0,1.0,144.0,Stonnington,4836.0
132,1,u,280000.0,2016,6.3,1.0,1.0,0.0,Stonnington,4836.0
133,2,u,592500.0,2016,6.3,2.0,1.0,0.0,Stonnington,4836.0
134,2,h,1210000.0,2016,6.3,2.0,0.0,249.0,Stonnington,4836.0
135,4,h,2801000.0,2016,6.3,4.0,2.0,624.0,Stonnington,4836.0
136,3,h,1800000.0,2016,6.3,3.0,2.0,405.0,Stonnington,4836.0
137,4,h,2200000.0,2016,6.3,4.0,2.0,495.0,Stonnington,4836.0
138,6,h,5525000.0,2016,6.3,5.0,4.0,1491.0,Stonnington,4836.0
139,1,u,440000.0,2017,6.3,1.0,1.0,0.0,Stonnington,4836.0
140,3,h,1300000.0,2016,6.3,2.0,2.0,212.0,Stonnington,4836.0
141,2,u,704000.0,2016,6.3,2.0,1.0,0.0,Stonnington,4836.0
142,2,u,620000.0,2016,6.3,3.0,1.0,0.0,Stonnington,4836.0
143,3,h,1900000.0,2016,6.3,3.0,2.0,328.0,Stonnington,4836.0
144,2,u,710000.0,2017,6.3,2.0,1.0,2471.0,Stonnington,4836.0
145,2,u,598000.0,2017,6.3,2.0,1.0,0.0,Stonnington,4836.0
146,3,h,1285000.0,2017,6.3,3.0,2.0,186.0,Stonnington,4836.0
147,2,u,520000.0,2016,6.3,1.0,1.0,0.0,Stonnington,4836.0
148,4,h,3625000.0,2016,6.3,4.0,2.0,709.0,Stonnington,4836.0
149,4,h,4200000.0,2016,6.3,4.0,3.0,563.0,Stonnington,4836.0
150,3,t,1101000.0,2016,6.3,3.0,2.0,103.0,Stonnington,4836.0
151,3,h,3512500.0,2016,6.3,3.0,2.0,617.0,Stonnington,4836.0
152,3,u,869000.0,2016,6.3,2.0,1.0,0.0,Stonnington,4836.0
153,1,u,567000.0,2016,6.3,1.0,1.0,0.0,Stonnington,4836.0
154,3,h,940000.0,2016,5.9,3.0,2.0,298.0,Moonee Valley,6567.0
155,2,u,467000.0,2016,5.9,2.0,1.0,0.0,Moonee Valley,6567.0
156,3,h,1380000.0,2017,5.9,3.0,2.0,277.0,Moonee Valley,6567.0
157,2,u,490000.0,2017,5.9,2.0,1.0,423.0,Moonee Valley,6567.0
158,4,h,1850000.0,2017,5.9,4.0,1.0,478.0,Moonee Valley,6567.0
159,3,h,971000.0,2016,5.9,3.0,2.0,285.0,Moonee Valley,6567.0
160,2,h,710000.0,2016,5.9,2.0,1.0,214.0,Moonee Valley,6567.0
161,6,h,2425000.0,2016,5.9,6.0,2.0,1014.0,Moonee Valley,6567.0
162,2,h,750000.0,2016,5.9,2.0,1.0,226.0,Moonee Valley,6567.0
163,2,h,1053000.0,2016,5.9,2.0,1.0,269.0,Moonee Valley,6567.0
164,3,h,1377000.0,2016,5.9,3.0,1.0,417.0,Moonee Valley,6567.0
165,3,h,970000.0,2016,5.9,3.0,2.0,350.0,Moonee Valley,6567.0
166,2,h,751000.0,2016,5.9,2.0,1.0,118.0,Moonee Valley,6567.0
167,2,h,950000.0,2016,5.9,2.0,1.0,173.0,Moonee Valley,6567.0
168,2,u,685000.0,2016,5.9,2.0,2.0,228.0,Moonee Valley,6567.0
169,3,h,1230000.0,2016,5.9,4.0,2.0,594.0,Moonee Valley,6567.0
170,2,h,770000.0,2016,5.9,2.0,1.0,226.0,Moonee Valley,6567.0
171,4,h,890000.0,2016,5.9,4.0,1.0,300.0,Moonee Valley,6567.0
172,3,h,1440000.0,2017,5.9,3.0,1.0,487.0,Moonee Valley,6567.0
173,3,h,1000000.0,2016,5.9,3.0,2.0,440.0,Moonee Valley,6567.0
174,3,h,1435000.0,2016,5.9,3.0,2.0,532.0,Moonee Valley,6567.0
175,1,u,390000.0,2016,5.9,1.0,1.0,0.0,Moonee Valley,6567.0
176,3,h,1425000.0,2016,5.9,3.0,2.0,495.0,Moonee Valley,6567.0
177,4,h,1340000.0,2016,5.9,3.0,2.0,683.0,Moonee Valley,6567.0
178,3,h,955000.0,2016,5.9,3.0,1.0,263.0,Moonee Valley,6567.0
179,4,h,1100000.0,2016,5.9,4.0,5.0,559.0,Moonee Valley,6567.0
180,2,u,432000.0,2016,5.9,2.0,1.0,0.0,Moonee Valley,6567.0
181,4,h,1640000.0,2016,5.9,4.0,2.0,562.0,Moonee Valley,6567.0
182,6,h,1430000.0,2016,5.9,4.0,1.0,461.0,Moonee Valley,6567.0
183,2,u,610000.0,2016,5.9,2.0,1.0,301.0,Moonee Valley,6567.0
184,3,h,940000.0,2016,5.9,3.0,1.0,491.0,Moonee Valley,6567.0
185,3,h,890000.0,2016,5.9,3.0,1.0,242.0,Moonee Valley,6567.0
186,3,h,1180000.0,2016,5.9,3.0,2.0,617.0,Moonee Valley,6567.0
187,4,h,1480000.0,2016,5.9,4.0,2.0,597.0,Moonee Valley,6567.0
188,2,t,865000.0,2017,5.9,2.0,1.0,146.0,Moonee Valley,6567.0
189,2,u,442000.0,2016,5.9,2.0,1.0,0.0,Moonee Valley,6567.0
190,3,h,1037500.0,2016,5.9,3.0,2.0,506.0,Moonee Valley,6567.0
191,3,t,1050000.0,2016,5.9,3.0,2.0,318.0,Moonee Valley,6567.0
192,2,u,440000.0,2016,5.9,2.0,1.0,0.0,Moonee Valley,6567.0
193,4,h,1430000.0,2016,5.9,4.0,0.0,418.0,Moonee Valley,6567.0
194,3,h,1130000.0,2016,5.9,3.0,1.0,272.0,Moonee Valley,6567.0
195,3,h,1135000.0,2016,5.9,3.0,1.0,296.0,Moonee Valley,6567.0
196,4,h,950000.0,2016,5.9,4.0,1.0,298.0,Moonee Valley,6567.0
197,2,u,390000.0,2017,5.9,2.0,1.0,1957.0,Moonee Valley,6567.0
198,4,h,1345000.0,2017,5.9,4.0,1.0,552.0,Moonee Valley,6567.0
199,3,h,1381500.0,2017,5.9,3.0,2.0,416.0,Moonee Valley,6567.0
200,3,h,940000.0,2016,5.9,3.0,2.0,285.0,Moonee Valley,6567.0
201,3,h,995000.0,2016,5.9,3.0,1.0,314.0,Moonee Valley,6567.0
202,3,h,786000.0,2016,5.9,3.0,1.0,576.0,Moonee Valley,6567.0
203,2,h,705000.0,2016,5.9,2.0,3.0,252.0,Moonee Valley,6567.0
204,2,h,760000.0,2016,5.9,2.0,1.0,124.0,Moonee Valley,6567.0
205,3,t,1000000.0,2016,5.9,3.0,2.0,200.0,Moonee Valley,6567.0
206,3,h,1305000.0,2016,5.9,2.0,1.0,278.0,Moonee Valley,6567.0
207,3,h,1215000.0,2016,5.9,3.0,1.0,452.0,Moonee Valley,6567.0
208,2,u,545000.0,2016,5.9,2.0,2.0,194.0,Moonee Valley,6567.0
209,4,h,1705000.0,2016,5.9,4.0,4.0,598.0,Moonee Valley,6567.0
210,4,h,2650000.0,2016,11.0,4.0,2.0,753.0,Boroondara,3052.0
211,3,h,1670000.0,2016,11.0,3.0,2.0,599.0,Boroondara,3052.0
212,3,t,2050000.0,2016,11.0,3.0,4.0,310.0,Boroondara,3052.0
213,3,h,1555000.0,2016,11.0,3.0,2.0,731.0,Boroondara,3052.0
214,3,h,1100000.0,2016,11.0,3.0,2.0,276.0,Boroondara,3052.0
215,3,h,1337000.0,2016,11.0,3.0,2.0,583.0,Boroondara,3052.0
216,8,h,2950000.0,2016,11.0,9.0,4.0,1472.0,Boroondara,3052.0
217,3,h,1518000.0,2016,11.0,3.0,2.0,516.0,Boroondara,3052.0
218,3,h,1710000.0,2016,11.0,3.0,2.0,806.0,Boroondara,3052.0
219,3,h,1655000.0,2016,11.0,3.0,3.0,780.0,Boroondara,3052.0
220,4,h,1550000.0,2016,11.0,4.0,2.0,780.0,Boroondara,3052.0
221,3,h,1662000.0,2016,11.0,3.0,2.0,351.0,Boroondara,3052.0
222,3,h,1665000.0,2016,11.0,3.0,3.0,702.0,Boroondara,3052.0
223,5,h,3510000.0,2017,11.0,5.0,2.0,755.0,Boroondara,3052.0
224,3,t,900000.0,2016,11.0,3.0,2.0,153.0,Boroondara,3052.0
225,5,h,2752000.0,2016,11.0,6.0,2.0,1075.0,Boroondara,3052.0
226,3,h,1500000.0,2016,11.0,3.0,2.0,710.0,Boroondara,3052.0
227,4,h,1800000.0,2017,11.0,4.0,4.0,749.0,Boroondara,3052.0
228,3,h,1830000.0,2017,11.0,3.0,3.0,724.0,Boroondara,3052.0
229,3,h,1415000.0,2016,11.0,3.0,1.0,605.0,Boroondara,3052.0
230,2,h,1440000.0,2016,11.0,2.0,1.0,687.0,Boroondara,3052.0
231,4,t,1250000.0,2016,11.0,4.0,2.0,321.0,Boroondara,3052.0
232,5,h,1600000.0,2016,11.0,5.0,4.0,700.0,Boroondara,3052.0
233,4,h,1860000.0,2016,11.0,4.0,3.0,696.0,Boroondara,3052.0
234,4,h,1790000.0,2016,11.0,4.0,2.0,514.0,Boroondara,3052.0
235,4,h,1950000.0,2016,11.0,4.0,2.0,844.0,Boroondara,3052.0
236,3,h,1650000.0,2016,11.0,3.0,1.0,697.0,Boroondara,3052.0
237,4,h,1200000.0,2017,12.2,4.0,2.0,372.0,Monash,2894.0
238,2,h,1075000.0,2016,12.2,2.0,2.0,695.0,Monash,2894.0
239,4,h,1500000.0,2016,12.2,2.0,2.0,621.0,Monash,2894.0
240,2,t,700000.0,2016,12.2,2.0,2.0,367.0,Monash,2894.0
241,3,h,761000.0,2016,12.2,3.0,4.0,400.0,Monash,2894.0
242,3,h,1365000.0,2016,12.2,3.0,1.0,792.0,Monash,2894.0
243,4,h,1100000.0,2016,12.2,3.0,2.0,803.0,Monash,2894.0
244,2,u,690000.0,2016,12.2,2.0,1.0,216.0,Monash,2894.0
245,3,h,1631000.0,2016,12.2,3.0,3.0,782.0,Monash,2894.0
246,4,h,1500000.0,2016,12.2,4.0,1.0,593.0,Monash,2894.0
247,5,h,1529500.0,2016,12.2,5.0,2.0,585.0,Monash,2894.0
248,2,u,600000.0,2017,12.2,2.0,1.0,153.0,Monash,2894.0
249,4,h,1240000.0,2016,12.2,4.0,2.0,766.0,Monash,2894.0
250,2,u,700000.0,2016,12.2,2.0,2.0,192.0,Monash,2894.0
251,2,h,1110000.0,2016,12.2,2.0,1.0,586.0,Monash,2894.0
252,3,h,1305000.0,2017,12.2,3.0,1.0,760.0,Monash,2894.0
253,3,h,855000.0,2017,12.2,3.0,1.0,320.0,Monash,2894.0
254,3,t,900500.0,2016,12.2,3.0,2.0,256.0,Monash,2894.0
255,3,h,1200000.0,2016,12.2,3.0,2.0,839.0,Monash,2894.0
256,3,t,830000.0,2016,12.2,2.0,2.0,212.0,Monash,2894.0
257,3,h,850000.0,2016,10.5,3.0,1.0,593.0,Moonee Valley,4502.0
258,3,h,750000.0,2016,10.5,3.0,1.0,0.0,Moonee Valley,4502.0
259,3,t,851000.0,2016,10.5,3.0,1.0,557.0,Moonee Valley,4502.0
260,4,h,1155000.0,2016,10.5,3.0,2.0,569.0,Moonee Valley,4502.0
261,3,h,680000.0,2016,10.5,3.0,2.0,570.0,Moonee Valley,4502.0
262,3,h,627500.0,2016,10.5,3.0,1.0,550.0,Moonee Valley,4502.0
263,4,h,950000.0,2016,10.5,4.0,3.0,761.0,Moonee Valley,4502.0
264,3,h,705000.0,2016,10.5,3.0,1.0,581.0,Moonee Valley,4502.0
265,4,h,1100000.0,2016,10.5,4.0,2.0,873.0,Moonee Valley,4502.0
266,3,h,892500.0,2016,10.5,3.0,1.0,586.0,Moonee Valley,4502.0
267,2,h,522500.0,2016,10.5,2.0,1.0,220.0,Moonee Valley,4502.0
268,4,h,680000.0,2016,10.5,4.0,2.0,554.0,Moonee Valley,4502.0
269,3,h,875000.0,2017,10.5,3.0,3.0,812.0,Moonee Valley,4502.0
270,4,h,762000.0,2016,10.5,4.0,2.0,589.0,Moonee Valley,4502.0
271,2,u,411000.0,2016,10.5,2.0,1.0,0.0,Moonee Valley,4502.0
272,3,h,805000.0,2016,10.5,3.0,2.0,593.0,Moonee Valley,4502.0
273,3,h,634000.0,2016,10.5,4.0,1.0,582.0,Moonee Valley,4502.0
274,4,h,1819000.0,2016,6.6,3.0,1.0,244.0,Port Phillip,2952.0
275,2,u,410000.0,2016,6.6,2.0,2.0,0.0,Port Phillip,2952.0
276,2,t,1015000.0,2016,6.6,2.0,2.0,114.0,Port Phillip,2952.0
277,2,u,502500.0,2016,6.6,2.0,1.0,0.0,Port Phillip,2952.0
278,2,u,520000.0,2016,6.6,2.0,0.0,0.0,Port Phillip,2952.0
279,2,u,442000.0,2016,6.6,2.0,1.0,0.0,Port Phillip,2952.0
280,3,h,1193000.0,2016,6.6,3.0,1.0,178.0,Port Phillip,2952.0
281,2,u,416000.0,2016,6.6,2.0,1.0,0.0,Port Phillip,2952.0
282,2,u,474000.0,2016,6.6,2.0,1.0,0.0,Port Phillip,2952.0
283,2,h,981000.0,2017,6.6,2.0,0.0,159.0,Port Phillip,2952.0
284,3,h,1690000.0,2017,6.6,3.0,2.0,339.0,Port Phillip,2952.0
285,2,u,540000.0,2016,6.6,2.0,1.0,483.0,Port Phillip,2952.0
286,2,h,2100000.0,2016,9.7,2.0,1.0,659.0,Boroondara,5682.0
287,4,h,1800000.0,2016,9.7,4.0,2.0,715.0,Boroondara,5682.0
288,2,t,1255000.0,2016,9.7,2.0,1.0,208.0,Boroondara,5682.0
289,3,u,1070000.0,2016,9.7,3.0,2.0,206.0,Boroondara,5682.0
290,5,h,2570000.0,2016,9.7,5.0,2.0,715.0,Boroondara,5682.0
291,4,h,2400000.0,2016,9.7,4.0,2.0,744.0,Boroondara,5682.0
292,2,u,806000.0,2016,9.7,2.0,1.0,122.0,Boroondara,5682.0
293,6,h,4000000.0,2016,9.7,6.0,7.0,2051.0,Boroondara,5682.0
294,5,h,2250000.0,2016,9.7,5.0,2.0,600.0,Boroondara,5682.0
295,5,h,2800000.0,2016,9.7,5.0,2.0,678.0,Boroondara,5682.0
296,2,h,1850000.0,2016,9.7,3.0,1.0,1015.0,Boroondara,5682.0
297,3,h,700000.0,2016,9.7,3.0,1.0,188.0,Boroondara,5682.0
298,2,h,500000.0,2016,9.7,2.0,1.0,0.0,Boroondara,5682.0
299,3,h,2125000.0,2016,9.7,3.0,2.0,699.0,Boroondara,5682.0
300,4,h,1800000.0,2016,9.7,3.0,2.0,577.0,Boroondara,5682.0
301,2,u,635000.0,2016,9.7,2.0,1.0,0.0,Boroondara,5682.0
302,2,u,526000.0,2016,9.7,2.0,1.0,0.0,Boroondara,5682.0
303,3,h,905000.0,2016,9.7,3.0,2.0,281.0,Boroondara,5682.0
304,4,h,1750000.0,2016,9.7,4.0,2.0,453.0,Boroondara,5682.0
305,2,t,760000.0,2016,9.7,2.0,1.0,121.0,Boroondara,5682.0
306,3,t,1367000.0,2016,9.7,3.0,2.0,219.0,Boroondara,5682.0
307,4,t,1400000.0,2016,9.7,4.0,2.0,241.0,Boroondara,5682.0
308,4,h,3270000.0,2016,9.7,4.0,4.0,935.0,Boroondara,5682.0
309,2,u,625000.0,2016,9.7,2.0,1.0,115.0,Boroondara,5682.0
310,4,h,2730000.0,2016,9.7,4.0,2.0,674.0,Boroondara,5682.0
311,2,u,460000.0,2016,9.7,2.0,1.0,0.0,Boroondara,5682.0
312,2,u,1053000.0,2016,9.7,2.0,2.0,231.0,Boroondara,5682.0
313,3,t,1472000.0,2016,9.7,3.0,2.0,306.0,Boroondara,5682.0
314,2,u,754000.0,2017,9.7,2.0,1.0,87.0,Boroondara,5682.0
315,4,h,2188000.0,2016,9.7,4.0,2.0,752.0,Boroondara,5682.0
316,2,u,755000.0,2016,9.7,2.0,1.0,213.0,Boroondara,5682.0
317,4,h,3290000.0,2016,9.7,4.0,2.0,1007.0,Boroondara,5682.0
318,4,h,2410000.0,2016,9.7,4.0,1.0,685.0,Boroondara,5682.0
319,2,u,650000.0,2016,9.7,2.0,1.0,0.0,Boroondara,5682.0
320,4,h,2000000.0,2016,9.7,3.0,2.0,739.0,Boroondara,5682.0
321,4,h,1900000.0,2016,9.7,4.0,1.0,665.0,Boroondara,5682.0
322,3,h,3401000.0,2016,9.7,3.0,1.0,706.0,Boroondara,5682.0
323,3,h,1750000.0,2016,9.7,3.0,3.0,613.0,Boroondara,5682.0
324,5,h,3020000.0,2016,9.7,5.0,2.0,715.0,Boroondara,5682.0
325,5,h,2450000.0,2016,9.7,4.0,2.0,981.0,Boroondara,5682.0
326,2,u,730000.0,2016,9.7,2.0,1.0,130.0,Boroondara,5682.0
327,3,h,1500000.0,2016,9.7,3.0,2.0,404.0,Boroondara,5682.0
